hip,ra,dec,plx,e_plx,pmra,pmdec,b_v,vmag,btmag,vtmag
1,9.1185E-4,1.08901332,3.54,1.39,-5.2,-1.88,0.482,9.1,9.643,9.13
2,0.00379737,-19.49883745,21.9,3.1,181.21,-0.93,0.999,9.27,10.519,9.378
3,0.00500795,38.85928608,2.81,0.63,5.24,-2.91,-0.019,6.61,6.576,6.621
4,0.0083817,-51.89354612,7.75,0.97,62.85,0.16,0.37,8.06,8.471,8.092
5,0.00996534,-40.5912244,2.87,1.11,2.53,9.07,0.902,8.55,9.693,8.656
6,0.01814144,3.94648893,18.8,4.99,226.29,-12.84,1.336,12.31,,
7,0.02254891,20.03660216,17.74,1.3,-208.12,-200.79,0.74,9.64,10.542,9.679
8,0.0272916,25.88647445,5.17,1.95,19.09,-5.66,1.102,9.05,10.433,9.151
9,0.03534189,36.58593777,4.81,0.99,-6.3,8.42,1.067,8.59,9.962,8.711
10,0.03625309,-50.8670736,10.76,1.1,42.23,40.02,0.489,8.59,9.14,8.63
11,0.03729695,46.94000154,4.29,0.84,11.09,-2.02,0.081,7.34,7.446,7.364
12,0.04091756,-35.96022482,4.06,1.16,-5.99,-0.1,1.484,8.43,10.369,8.588
13,0.0416797,-22.5946806,3.49,1.48,8.45,-10.07,1.128,8.8,10.216,8.887
14,0.04827189,-0.36042119,5.11,0.99,61.75,-11.67,1.2,7.25,8.812,7.396
15,0.0503089,50.79117384,2.45,1.16,13.88,5.47,1.166,8.6,10.117,8.739
17,0.05109957,-40.19232842,6.15,1.0,-34.46,-26.37,0.425,8.15,8.642,8.187
16,0.05140852,-54.91412819,0.53,2.63,257.39,-96.63,0.421,11.71,,
18,0.05313923,-4.05373813,19.93,2.36,-127.22,23.78,1.567,11.03,,
19,0.05331696,38.30408636,4.12,0.64,-2.5,-15.07,0.955,6.53,7.739,6.63
20,0.0629505,23.52928397,10.76,1.06,36.0,-22.98,0.516,8.51,9.074,8.549
21,0.06623569,8.00723437,5.84,0.95,61.89,-0.22,1.438,7.55,9.413,7.689
22,0.07013593,-49.35226686,4.47,1.15,-7.9,0.46,0.962,8.69,9.919,8.803
23,0.0744293,13.31221083,12.21,0.95,54.15,9.65,0.456,7.57,8.044,7.606
24,0.07604979,-23.45274913,9.73,1.21,127.15,22.22,0.528,9.05,9.662,9.103
25,0.07936537,-44.29029741,13.74,0.98,58.36,-108.64,0.763,6.28,7.238,6.375
26,0.08434579,-13.39329686,9.19,1.34,-103.33,-33.35,0.535,9.13,9.747,9.179
27,0.08546976,-41.29753696,9.66,1.38,135.96,-113.67,0.671,9.32,10.14,9.389
28,0.08724871,-43.36179962,5.64,1.05,-10.96,-8.69,0.468,8.83,9.376,8.892
29,0.09213106,-49.10795505,2.85,1.4,26.86,4.05,1.041,9.14,10.502,9.284
30,0.09613563,42.14149882,3.79,0.88,-8.44,-10.14,0.142,8.26,8.414,8.266
31,0.0980939,2.67547768,1.84,1.05,-4.88,-0.2,1.453,7.63,9.534,7.791
32,0.09858375,51.9394905,3.1,1.29,-0.39,-1.38,0.04,9.09,9.108,9.07
33,0.09918083,-10.46245445,8.94,1.09,-3.62,28.71,0.466,8.1,8.616,8.152
34,0.09946973,26.91823821,12.71,0.74,42.2,-53.47,0.514,6.43,7.04,6.491
35,0.10256052,-14.49048072,5.96,1.45,162.25,-1.47,0.916,9.07,10.214,9.181
36,0.1032755,12.26709303,6.3,0.96,49.71,14.27,1.15,7.68,9.159,7.801
37,0.1053519,-47.17958382,3.74,2.72,-6.92,7.03,0.391,10.44,10.857,10.457
38,0.11104694,-79.06183133,23.84,0.78,162.3,-62.4,0.778,8.65,9.614,8.723
39,0.11186148,-16.6969302,10.98,1.18,169.72,-32.54,0.475,7.46,7.986,7.493
41,0.11656351,54.30223774,3.42,1.04,1.78,-0.47,0.026,8.7,8.699,8.676
40,0.12196971,67.21679125,-3.4,4.25,-2.99,-3.18,0.57,10.61,,
42,0.12538666,25.84478059,6.38,0.91,20.7,-6.51,0.387,8.2,8.656,8.238
43,0.129089,59.55973786,7.63,0.6,-80.6,-24.07,1.032,6.18,7.497,6.29
44,0.1327223,-3.30636174,2.41,1.01,11.1,16.04,1.104,7.91,9.347,8.048
45,0.13420453,-72.20271031,15.1,1.92,-37.2,-2.78,,9.59,10.618,9.808
46,0.13454429,-25.62225277,1.19,1.2,15.17,-13.39,1.035,8.57,9.9,8.69
464,1.38388036,-31.96763926,0.75,22.3,-21.68,-81.45,0.501,12.04,,
47,0.13519236,-56.83524773,24.45,1.97,-44.21,-145.9,1.15,10.78,12.125,10.909
48,0.13522264,-40.69044664,1.86,0.87,4.08,-11.28,1.164,7.31,8.813,7.438
49,0.13950066,16.66903183,1.59,1.28,26.66,6.95,0.45,9.53,10.053,9.575
50,0.14287059,-53.09766277,16.89,0.8,52.98,-20.52,0.616,6.49,7.256,6.579
51,0.14339044,1.06619726,0.41,1.3,10.19,6.33,0.906,8.94,10.082,9.039
52,0.14665879,-77.0201405,3.95,0.77,21.46,9.91,0.196,8.56,8.807,8.595
53,0.14739023,-29.26338247,-1.76,2.45,11.94,-12.96,,10.96,,
54,0.15165558,17.96895579,20.97,1.71,367.14,-19.49,1.03,10.57,11.685,10.679
55,0.15783323,-66.68310336,14.66,0.98,162.88,-28.82,0.551,7.4,7.946,7.381
56,0.16283175,0.22293899,3.47,1.27,39.02,-3.09,1.329,8.12,9.861,8.276
57,0.16828557,-69.67580068,33.89,0.79,-40.97,-67.59,0.863,8.27,9.353,8.353
58,0.17376341,62.17600484,26.06,0.67,-46.95,-43.9,0.52,7.05,7.665,7.11
59,0.17444749,55.72246267,-0.06,1.38,-0.27,-1.02,0.091,9.09,9.218,9.125
60,0.17542318,-64.46582516,6.18,0.83,1.75,10.74,0.386,8.34,8.789,8.381
61,0.17615726,53.82218625,5.6,1.11,32.68,-16.7,1.081,8.86,10.275,9.006
62,0.17996123,-45.42272731,5.28,1.15,4.02,-4.78,0.994,8.27,9.545,8.387
63,0.1817495,45.25333305,4.81,0.71,17.38,0.22,-0.047,6.36,6.291,6.348
64,0.18458893,-27.90754614,3.45,0.94,-5.93,-14.59,1.156,8.08,9.567,8.202
65,0.18797532,-54.83034057,16.98,2.43,-205.14,-75.34,1.147,11.0,12.193,10.953
66,0.18854917,-72.31824913,8.18,0.88,-15.61,11.88,0.401,8.55,9.004,8.587
67,0.19910132,23.53824873,7.48,0.93,91.05,-12.35,0.495,7.83,8.353,7.875
68,0.20063628,16.98896499,31.8,1.17,-99.69,-315.9,0.94,8.79,10.017,8.903
69,0.20137175,30.39589283,6.35,1.12,16.48,-1.3,0.135,8.33,8.475,8.335
70,0.20280014,36.77763945,5.25,13.87,-46.78,-0.88,0.706,10.42,11.153,10.377
71,0.20709981,36.78015328,9.13,1.84,-24.5,-19.47,0.846,8.26,9.319,8.357
72,0.21946989,-12.82867015,10.63,1.25,185.34,-119.65,0.671,8.97,9.766,9.057
73,0.22045719,66.84796687,3.97,0.69,-20.78,18.19,1.446,6.9,8.787,7.054
74,0.22187281,35.75272213,24.22,1.36,157.73,-40.31,1.068,9.93,11.364,10.112
75,0.22316216,-50.446465,1.6,0.79,29.01,2.56,1.524,7.42,9.441,7.588
76,0.22821959,32.82567452,2.29,1.19,-1.98,-8.45,1.67,9.03,11.229,9.258
77,0.23052169,-30.06417333,3.53,1.12,18.83,2.83,0.022,8.41,8.44,8.411
78,0.23231307,17.86784193,1.17,0.96,-0.51,3.68,1.203,8.06,9.625,8.2
79,0.23572286,35.31675386,4.57,0.99,16.45,-13.81,0.529,8.69,9.3,8.735
80,0.24179216,-11.82353722,15.59,1.43,419.04,-82.83,0.566,8.4,9.086,8.472
81,0.24386443,-4.93211471,23.43,1.28,-184.7,-172.67,0.642,8.57,9.377,8.656
82,0.24803173,-10.9358054,1.82,1.37,-6.01,-65.06,1.107,9.5,10.822,9.582
83,0.248081,52.08056444,2.28,1.3,-2.1,-0.99,1.726,8.85,11.067,9.028
84,0.25180722,27.88634368,18.9,1.33,225.55,-5.46,0.852,9.61,10.686,9.7
85,0.2560073,-24.71404902,3.9,2.06,48.48,0.49,0.359,10.62,11.012,10.593
86,0.26038262,69.6034983,3.47,0.78,11.53,2.67,0.018,8.05,8.067,8.053
87,0.26151556,-5.83497569,4.52,1.08,-7.83,-10.91,0.43,7.8,8.301,7.843
88,0.26915958,-48.80985919,5.97,0.7,-17.92,-6.75,0.911,5.71,6.863,5.807
89,0.27715178,53.16694253,2.6,0.96,0.68,0.03,1.566,7.87,9.943,8.058
90,0.27999988,-41.88742972,9.35,0.92,25.1,-46.98,0.5,7.64,8.206,7.697
91,0.28056847,-5.87433293,4.21,1.23,-15.41,-6.09,1.3,7.66,9.353,7.804
92,0.29062512,-20.70558648,4.77,1.44,27.51,15.15,0.944,8.68,9.866,8.774
2546,8.0947202,26.02943021,-4.26,4.43,-6.05,-1.29,1.5,9.85,,
93,0.29222255,-0.07592034,16.74,1.28,54.94,-73.28,0.619,8.12,8.855,8.202
94,0.29485302,-32.75680569,10.48,1.48,50.32,-12.69,0.644,10.1,10.798,10.099
