#HIP,PMRA,PMDE
4017,13.38,0.34
4018,29.76,-64.7
4019,1.0,43.7
4020,18.82,18.06
4021,17.18,-7.2
4022,612.07,-275.45
4023,-3.2,-10.96
4024,145.19,-278.54
4025,85.2,-21.95
4026,-22.1,-26.14
4027,-15.7,-41.37
4028,-41.86,-15.57
4029,176.33,-59.57
4030,11.01,2.43
4031,35.08,3.87
4032,5.53,-3.0
4033,24.89,3.33
4034,-9.52,-7.91
4035,-18.18,-19.34
4036,56.09,5.97
4037,-6.12,-2.11
4038,-5.53,-4.95
4039,237.65,61.28
4040,20.7,-42.16
4041,158.6,-5.26
4042,1.42,-9.07
4043,10.22,16.91
4044,48.59,33.24
4045,161.61,-99.41
4046,5.38,71.01
4047,-2.71,-14.63
4048,5.14,14.89
4049,30.29,3.36
4050,50.52,10.46
4051,13.75,-17.23
4052,27.8,4.77
4053,1.8,-5.67
4054,7.27,-10.43
4055,211.32,28.93
4056,54.07,-6.32
4057,17.18,-17.1
4058,-2.39,-21.59
4059,40.66,-11.91
4060,27.85,-33.12
4061,176.84,-105.8
4062,29.71,-37.98
4063,20.32,-53.15
4064,10.19,-0.45
4065,42.91,-25.86
4066,84.84,-88.07
4067,38.29,-23.81
4068,23.46,-2.46
4069,21.93,-4.7
4070,23.37,10.85
4099,6.3,-15.83
4071,15.49,3.18
4072,-110.92,-204.39
4073,-42.96,-52.48
4074,47.34,3.3
4075,-1.51,-1.3
4076,11.79,3.75
4077,15.61,6.53
4078,-29.68,-22.97
4079,11.16,-11.17
4080,4.7,-7.69
4081,19.44,-5.92
4082,-10.0,-4.43
4083,88.68,6.99
4085,16.03,25.37
4084,3.81,-68.87
4086,165.53,-203.7
4087,62.44,-62.98
4088,-2.47,-59.75
4089,15.03,-14.96
4090,-7.97,0.14
4091,-19.06,-39.72
4092,8.21,5.23
4093,129.35,-87.83
4094,86.68,-13.57
4095,-27.91,0.7
4096,4.67,-20.84
4097,23.81,-2.59
4098,13.73,-47.38
4100,-3.48,-24.53
4101,-14.21,12.33
4102,-1.79,0.21
4103,213.27,-43.21
4105,19.1,35.3
4104,37.32,33.58
4106,29.5,-56.58
4107,41.83,-6.19
4108,2.0,-5.51
4109,4.47,-3.71
4110,17.66,-6.48
4111,48.73,-73.32
4112,7.81,-5.3
4114,-10.42,-11.57
4113,80.16,-15.58
4116,3.51,-3.66
4115,-32.3,-30.72
4117,-43.65,-65.9
4118,3.76,0.67
4119,-5.32,-10.17
4120,-32.77,-49.48
4121,-2.95,-3.22
4122,-5.29,6.24
4124,-30.18,-26.45
4123,-77.39,-68.63
4125,-17.69,-16.4
4126,0.99,-0.5
4127,-91.08,52.37
4128,33.44,-15.41
4129,26.31,-10.15
4130,-1.23,-2.37
4131,-26.44,-23.23
4132,-5.61,-11.15
4133,-1.31,-9.89
4134,32.1,2.67
4135,-12.23,-21.24
4136,52.82,-18.78
4137,-98.6,-234.96
4138,5.63,-2.97
4139,1.48,-1.12
4140,157.1,-68.48
4141,35.63,-24.01
4142,-3.75,-31.62
4143,16.66,-0.57
4144,60.93,153.11
4145,214.86,93.76
4146,-5.9,-100.67
4147,6.49,-16.29
4149,51.47,6.16
4148,620.5,31.31
4150,38.22,1.79
4152,55.48,-10.1
4151,-68.45,169.72
4153,0.79,-2.57
4154,22.05,-19.86
