#time X Y Z
2020-07-12_12:30:12 -4.371930086947506E9 -1.8196929767453496E9 1.533211908103342E9
2023-08-18_12:30:12 -4.238516858293015E9 -1.9308845611897686E9 2.045017218188123E9
2026-09-23_12:30:12 -4.0643227157045364E9 -2.0235236843161159E9 2.5376728425744996E9
2029-10-29_11:30:12 -3.8533613188425536E9 -2.0979574234875348E9 3.007887860263682E9
2032-12-04_11:30:12 -3.609641473051161E9 -2.1547049126357875E9 3.452959884493106E9
2036-01-10_11:30:12 -3.3370271689784617E9 -2.194406061206433E9 3.870834199654878E9
2039-02-15_11:30:12 -3.039197869006841E9 -2.217760835007817E9 4.259962604071387E9
2042-03-23_11:30:12 -2.7195597257773147E9 -2.225508944883784E9 4.619284130117185E9
2045-04-28_12:30:12 -2.381259700664488E9 -2.2184189241285005E9 4.948098797139797E9
2048-06-03_12:30:12 -2.0272326883523898E9 -2.1972932272414403E9 5.245978307111551E9
2051-07-10_12:30:12 -1.6603390051777918E9 -2.1629809743921976E9 5.512662246446157E9
2054-08-15_12:30:12 -1.2833521834388995E9 -2.1163735381164627E9 5.74811115717427E9
2057-09-20_12:30:12 -8.990219718326786E8 -2.0583922386372185E9 5.952483115410212E9
2060-10-26_12:30:12 -5.100059112600273E8 -1.9899596010036662E9 6.126170727349993E9
2063-12-02_11:30:12 -1.1876513789879185E8 -1.911967134584471E9 6.269799065707502E9
2067-01-07_11:30:12 2.7253175509793663E8 -1.8252544615993426E9 6.384175770432786E9
2070-02-12_11:30:12 6.621347977521996E8 -1.7305887581824636E9 6.470222845941303E9
2073-03-20_11:30:12 1.0486184606142734E9 -1.6286942522880259E9 6.528856144537212E9
2076-04-25_12:30:12 1.4308503637541442E9 -1.5202604374965107E9 6.560930399167398E9
2079-06-01_12:30:12 1.8078466784474137E9 -1.40595955949879E9 6.567209221464326E9
2082-07-07_12:30:12 2.1785657997744E9 -1.2864692252107499E9 6.548393002773746E9
2085-08-12_12:30:12 2.541884559338268E9 -1.1624350926858668E9 6.505183133791382E9
2088-09-17_12:30:12 2.8965137196715517E9 -1.0344631907349284E9 6.438344692753945E9
2091-10-24_12:30:12 3.2410663121868863E9 -9.03092555992638E8 6.348739197527588E9
2094-11-29_11:30:12 3.574168917940609E9 -7.68788670736582E8 6.23730482514779E9
2098-01-04_11:30:12 3.89457192869423E9 -6.319689473400216E8 6.104995135876431E9
2101-02-10_11:30:12 4.2012805113524985E9 -4.93028614413615E8 5.9526740476839E9
2104-03-18_11:30:12 4.493499274679832E9 -3.5242845487923634E8 5.781082034591834E9
2107-04-24_12:30:12 4.770623515048748E9 -2.1072046791710544E8 5.590809560879511E9
2110-05-30_12:30:12 5.032132864555106E9 -6.85585931661692E7 5.382352261494855E9
2113-07-05_12:30:12 5.277444301910613E9 7.331684801701635E7 5.15624962726599E9
2116-08-10_12:30:12 5.505897421535933E9 2.1418982981646055E8 4.913153490418045E9
2119-09-16_12:30:12 5.716705066965698E9 3.5344657458970296E8 4.65393097579072E9
2122-10-22_12:30:12 5.909014986023241E9 4.9066440670634115E8 4.37965247495188E9
2125-11-27_11:30:12 6.08199824672149E9 6.256454036946208E8 4.091502844007092E9
2129-01-02_11:30:12 6.234929689313502E9 7.583742661682024E8 3.7906482631247845E9
2132-02-08_11:30:12 6.367255846227929E9 8.889320644010855E8 3.478046350143006E9
2135-03-16_11:30:12 6.478548423642943E9 1.0173204554381064E9 3.154428079942851E9
2138-04-21_12:30:12 6.568461465517616E9 1.1433391619662821E9 2.8202730855711827E9
2141-05-27_12:30:12 6.636634848131687E9 1.2664953931780617E9 2.475937095743406E9
2144-07-02_12:30:12 6.682602594779264E9 1.385981155574834E9 2.1219071076649632E9
2147-08-08_12:30:12 6.705766931119972E9 1.5007877281421149E9 1.7589369029911613E9
2150-09-13_12:30:12 6.705401136531451E9 1.6098418347410257E9 1.3882410524280913E9
2153-10-19_12:30:12 6.680711169162964E9 1.7121827589570868E9 1.0115025257867157E9
2156-11-24_11:30:12 6.630911228287785E9 1.8070951194229863E9 6.307556797757075E8
