#time X Y Z
2017-08-13_16:59:26 -3.064536105894197E8 -1.131606138088863E8 -7.4745865898235E8
2017-10-06_20:35:26 -3.54268143716568E8 -1.3428131551339394E8 -7.217438747044572E8
2017-11-29_23:11:26 -4.001814770247899E8 -1.5468133564514378E8 -6.921557220633523E8
2018-01-23_02:47:26 -4.4390812474723405E8 -1.742340547970836E8 -6.588690700246633E8
2018-03-18_06:23:26 -4.8527122663005257E8 -1.928608781045718E8 -6.219987022417167E8
2018-05-11_10:59:26 -5.240011600246749E8 -2.1044117110135323E8 -5.817530619567823E8
2018-07-04_14:35:26 -5.598995238335859E8 -2.2688582420805946E8 -5.382996049406145E8
2018-08-27_18:11:26 -5.926973919825858E8 -2.420726002283658E8 -4.919248368955096E8
2018-10-20_21:47:26 -6.222222322323301E8 -2.5592257378075898E8 -4.428332483314946E8
2018-12-14_00:23:26 -6.482862186583124E8 -2.6834907117548314E8 -3.9127829125671214E8
2019-02-06_03:59:26 -6.707003071523288E8 -2.7926347477189153E8 -3.375718035681358E8
2019-04-01_08:35:26 -6.893417086949074E8 -2.8860822720332587E8 -2.819162663180846E8
2019-05-25_12:11:26 -7.040611810529852E8 -2.96312149978266E8 -2.2460798289870933E8
2019-07-18_15:47:26 -7.147140670716716E8 -3.023034384903865E8 -1.6604980624858302E8
2019-09-10_19:23:26 -7.212109922719725E8 -3.0653687278957105E8 -1.065259799111226E8
2019-11-03_21:59:26 -7.23470797436285E8 -3.089694046645643E8 -4.637629812530035E7
2019-12-28_01:35:26 -7.214379609183595E8 -3.0956758315423304E8 1.4002178317927869E7
2020-02-20_05:11:26 -7.150743500183784E8 -3.083085875400705E8 7.434286922180697E7
2020-04-14_09:47:26 -7.043698557936157E8 -3.0517802634525335E8 1.3423200150273538E8
2020-06-07_13:23:26 -6.893274743597679E8 -3.0016921343334126E8 1.9334166220356488E8
2020-07-31_16:59:26 -6.700139378017418E8 -2.9329937988634014E8 2.5120431523786172E8
2020-09-23_20:35:26 -6.464912503139967E8 -2.845870332125801E8 3.074883125650689E8
2020-11-16_23:11:26 -6.188604586064637E8 -2.740663326683453E8 3.618177448161054E8
2021-01-10_02:47:26 -5.872781591567653E8 -2.6179439817471346E8 4.13782059041175E8
2021-03-05_06:23:26 -5.51856473945094E8 -2.478123655866268E8 4.6309740528416336E8
2021-04-28_10:59:26 -5.128092226541406E8 -2.3220226362162936E8 5.093693285966075E8
2021-06-21_14:35:26 -4.703233973958462E8 -2.150367256994133E8 5.52289917564586E8
2021-08-14_18:11:26 -4.2471467902142376E8 -1.964415858201472E8 5.914708645910023E8
2021-10-07_21:47:26 -3.762301328302015E8 -1.765162259511447E8 6.266453378428313E8
2021-12-01_00:23:26 -3.251750316752536E8 -1.5538473790059736E8 6.575365556252501E8
2022-01-24_03:59:26 -2.719213896688611E8 -1.3320005171735345E8 6.838770432699717E8
2022-03-19_07:35:26 -2.167398565700696E8 -1.1007385156929557E8 7.05489527158368E8
2022-05-12_12:11:26 -1.600434656209494E8 -8.617815710972598E7 7.221679781297712E8
2022-07-05_15:47:26 -1.0217708732323226E8 -6.165737692153943E7 7.337720683881354E8
2022-08-28_19:23:26 -4.363304384383218E7 -3.671947190189187E7 7.401756397172352E8
2022-10-21_22:59:26 1.5220086070406618E7 -1.1521062660022607E7 7.413222029110675E8
2022-12-15_01:35:26 7.396402842003042E7 1.3759165633767625E7 7.371865473508109E8
2023-02-07_05:11:26 1.321346303507217E8 3.892159167935566E7 7.277956430627463E8
2023-04-02_09:47:26 1.8940496299946266E8 6.382494260117404E7 7.131958060267274E8
2023-05-26_13:23:26 2.4536275218986303E8 8.829026303038067E7 6.934786361650207E8
2023-07-19_16:59:26 2.995234402019092E8 1.1210557321963914E8 6.688196762888037E8
2023-09-11_20:35:26 3.5154777239964646E8 1.3512126478329825E8 6.393908741913327E8
2023-11-04_23:11:26 4.010720704871372E8 1.5717601924459186E8 6.054152421989706E8
2023-12-29_02:47:26 4.4772054020837384E8 1.7810171416900915E8 5.67182005083307E8
2024-02-21_06:23:26 4.912498732906954E8 1.977884267764672E8 5.249223956886872E8
2024-04-15_10:59:26 5.31335991742939E8 2.1608880049145645E8 4.789832078505168E8
2024-06-08_14:35:26 5.677489113069698E8 2.3289683104996592E8 4.2966927229789823E8
2024-08-01_18:11:26 6.002082263486559E8 2.480815848002626E8 3.774216825308504E8
2024-09-24_21:47:26 6.285525593612937E8 2.6156547542160487E8 3.225858839514498E8
2024-11-18_00:23:26 6.526252377967736E8 2.732717231254281E8 2.655570819422377E8
2025-01-11_03:59:26 6.722905910927896E8 2.831312147200998E8 2.0678545203247875E8
2025-03-06_07:35:26 6.87490987528764E8 2.9111148640011847E8 1.4658984877958962E8
2025-04-29_12:11:26 6.981553378551047E8 2.971709754908733E8 8.542617519207771E7
2025-06-22_15:47:26 7.042652188228155E8 3.0129298677003413E8 2.3656331262757182E7
2025-08-15_19:23:26 7.058215954554218E8 3.034657854558598E8 -3.821988197665001E7
2025-10-08_22:59:26 7.028715907204851E8 3.0370108692981595E8 -9.985307819263592E7
2025-12-02_01:35:26 6.954845852812095E8 3.0201925277908736E8 -1.6085696670566583E8
2026-01-25_05:11:26 6.837675916972547E8 2.9845597438739634E8 -2.2081228336686763E8
2026-03-20_08:47:26 6.67823952924443E8 2.930490921795214E8 -2.794527263380525E8
2026-05-13_13:23:26 6.47805715214239E8 2.8585433208846545E8 -3.363892302930973E8
2026-07-06_16:59:26 6.238589778548404E8 2.769274413633997E8 -3.9133856423317814E8
2026-08-29_20:35:26 5.962060172909999E8 2.6635420601591575E8 -4.439104386884995E8
2026-10-23_00:11:26 5.65032694815602E8 2.542083902552822E8 -4.93862292944559E8
2026-12-16_02:47:26 5.305573965769741E8 2.4057714544547904E8 -5.409291780718327E8
2027-02-08_06:23:26 4.930423164167441E8 2.2556611545346487E8 -5.848348144947921E8
2027-04-03_10:59:26 4.5267378240417904E8 2.0925138623119926E8 -6.254248107133497E8
2027-05-27_14:35:26 4.0970027419106466E8 1.9173436578138062E8 -6.624908584951811E8
