#time X Y Z
2017-06-20_21:29:26 223979.4756397783 63232.734991344085 281314.8453591211
2017-06-21_05:35:26 244735.2843093519 71598.99810343164 259264.51529357562
2017-06-21_13:41:26 263721.11637049034 79570.70901799528 235364.76644987654
2017-06-21_21:47:26 280881.5782912546 86806.67203136708 209751.10249130664
2017-06-22_05:53:26 295974.08625481033 93531.10390445375 182611.0282815436
2017-06-22_13:59:26 308931.1995707005 99519.93293729171 154122.39850768488
2017-06-22_22:05:26 319565.56398353726 104950.65559402286 124495.70054356632
2017-06-23_06:11:26 327902.1514756701 109440.938167686 93933.47715073971
2017-06-23_14:17:26 333782.71968836855 113212.33771257456 62668.965865491664
2017-06-23_22:23:26 337260.93636258645 115938.1781590265 30930.79847022827
2017-06-24_06:29:26 338137.52200052736 118101.71306840463 -1038.723902538903
2017-06-24_14:35:26 336562.6313489595 119246.48527347033 -33003.18927006678
2017-06-24_22:41:26 332539.04526932957 119422.9710939584 -64722.10765353291
2017-06-25_06:47:26 326016.8675116479 118890.985963593 -95964.42049231494
2017-06-25_14:53:26 317123.2291891296 117484.61802869085 -126501.5321860337
2017-06-25_22:59:26 305975.98506272514 115136.580902133 -156114.0863049354
2017-06-26_07:05:26 292592.74640347343 112094.52692191857 -184601.19507720802
2017-06-26_15:11:26 277208.49737561296 108096.79761393931 -211765.76682986223
2017-06-26_23:17:26 259819.3356443593 103525.34200653747 -237438.90074305926
2017-06-27_07:23:26 240664.6745281536 98191.1408414512 -261457.23767990977
2017-06-27_15:29:26 219954.19412251542 92019.1578099092 -283679.35630667105
2017-06-27_23:35:26 197671.66178448472 85483.26846230631 -303985.47183770005
2017-06-28_07:41:26 174139.6290137801 78278.79740448976 -322267.9065695355
2017-06-28_15:47:26 149490.13378880144 70558.75513083607 -338440.27923292946
2017-06-28_23:53:26 123894.60901398024 62389.78836764759 -352432.7543644974
2017-06-29_07:59:26 97570.92680300093 53735.665070144845 -364194.98214150354
2017-06-29_16:05:26 70587.52797399754 44895.84984341701 -373683.23866297567
2017-06-30_00:11:26 43181.769540548165 35784.543312329144 -380878.67869443976
2017-06-30_08:17:26 15567.168313022321 26361.461565219088 -385778.77513615985
2017-06-30_16:23:26 -12150.093344635456 16820.844820240305 -388383.5086537456
2017-07-01_00:29:26 -39842.92497315099 7301.793365823122 -388705.4002690459
2017-07-01_08:35:26 -67263.42648821569 -2351.2410836784256 -386786.98185014515
2017-07-01_16:41:26 -94299.52758792267 -11993.70470508441 -382664.069673522
2017-07-02_00:47:26 -120796.1338701468 -21597.141054347125 -376389.44142103125
2017-07-02_08:53:26 -146636.64245115634 -31056.072095463158 -368019.38325741177
2017-07-02_16:59:26 -171687.19790050553 -40322.99509471147 -357622.7245751431
2017-07-03_01:05:26 -195810.5707829633 -49378.23788880487 -345278.36832347454
2017-07-03_09:11:26 -218865.3311263894 -58235.107777156125 -331074.9059578679
2017-07-03_17:17:26 -240796.78591543107 -66698.27507560655 -315092.01210697484
2017-07-04_01:23:26 -261406.9648799405 -74974.38899085864 -297444.9556601255
2017-07-04_09:29:26 -280703.73763662216 -82735.82079464434 -278216.55445937975
2017-07-04_17:35:26 -298581.2455602137 -89979.24982930846 -257519.34853495227
2017-07-05_01:41:26 -314863.6047179462 -96927.73253111014 -235483.3912358311
2017-07-05_09:47:26 -329563.3488031713 -103294.92312686333 -212212.52195644917
2017-07-05_17:53:26 -342565.7485518216 -109178.74757700364 -187837.60389615435
2017-07-06_01:59:26 -353848.85085354984 -114433.72501916737 -162481.4279145541
2017-07-06_10:05:26 -363311.43560495623 -119170.84246621336 -136281.5091553221
2017-07-06_18:11:26 -370925.1354478537 -123313.7162085945 -109370.66876474717
2017-07-07_02:17:26 -376642.4442095307 -126868.00979721392 -81887.62278182601
2017-07-07_10:23:26 -380479.6419849183 -129679.21944100114 -53971.28788819464
2017-07-07_18:29:26 -382359.6559663731 -131894.25364476163 -25767.778699294384
2017-07-08_02:35:26 -382267.3589416058 -133504.65093945223 2578.8014678982568
2017-07-08_10:41:26 -380279.12095709436 -134269.84010961212 30921.58770786745
2017-07-08_18:47:26 -376278.3498500395 -134527.39742369013 59114.26905992023
2017-07-09_02:53:26 -370377.1642428243 -133995.39273876336 87007.41146483828
2017-07-09_10:59:26 -362578.6163183948 -132731.12531946218 114453.28974109892
2017-07-09_19:05:26 -352849.0164762068 -130913.18022395957 141308.14516523248
2017-07-10_03:11:26 -341319.13582539925 -128308.19509588044 167422.2316286443
2017-07-10_11:17:26 -328001.6775908314 -125027.93835846541 192653.7453550307
2017-07-10_19:23:26 -312934.0727446224 -121141.81769075322 216862.87631176415
2017-07-11_03:29:26 -296210.052925448 -116603.47943915616 239910.5770570297
2017-07-11_11:35:26 -277895.30406155187 -111464.39116486307 261663.55491089917
2017-07-11_19:41:26 -258101.9098719586 -105689.15288534944 281991.7719093
2017-07-12_03:47:26 -236916.68719938752 -99329.40908632304 300772.10640545137
2017-07-12_11:53:26 -214423.7383074952 -92465.23309608884 317887.2445487295
2017-07-12_19:59:26 -190749.91103898472 -85099.59150565568 333225.9753074265
2017-07-13_04:05:26 -166039.97973744583 -77218.05509519838 346685.6214747346
2017-07-13_12:11:26 -140390.81349205313 -68936.46706958784 358170.8797643252
2017-07-13_20:17:26 -113959.6901405739 -60252.919919475906 367596.5344679368
2017-07-14_04:23:26 -86877.02125067996 -51245.19336846433 374885.86367145804
2017-07-14_12:29:26 -59320.743741694016 -41901.14798935849 379975.5264050656
2017-07-14_20:35:26 -31410.571572439 -32356.06789782083 382808.1351396769
2017-07-15_04:41:26 -3335.492344412211 -22602.988837265104 383343.83659773564
2017-07-15_12:47:26 24766.358563451693 -12763.82479935718 381549.23210726987
2017-07-15_20:53:26 52687.92298965719 -2812.553102542171 377412.71482235985
2017-07-16_04:59:26 80265.93673953837 7168.059111812288 370930.75058025797
2017-07-16_13:05:26 107351.50471110476 17052.55370936509 362110.78949186736
2017-07-16_21:11:26 133727.08329842848 26877.657262327833 350987.2937960818
2017-07-17_05:17:26 159240.8079489788 36521.05192808915 337598.8828759884
2017-07-17_13:23:26 183721.05147513992 45910.031233540896 322003.8851586169
2017-07-17_21:29:26 207004.77954455029 54955.74565876955 304276.0242211819
2017-07-18_05:35:26 223979.4756397783 63232.734991344085 281314.8453591211
