#time X Y Z
2019-07-12_22:23:26 -1.2158749806217794E9 -6.034590095347437E8 4.269617880384076E9
2021-08-03_07:23:26 -8.96097814560811E8 -4.7483537725045377E8 4.3619542272434435E9
2023-08-25_16:23:26 -5.698822779801579E8 -3.4288324125213665E8 4.426745240760353E9
2025-09-16_01:23:26 -2.395960598631563E8 -2.0854679075598884E8 4.462716874231513E9
2027-10-08_10:23:26 9.179820552762711E7 -7.304819902648728E7 4.469565915293587E9
2029-10-29_18:23:26 4.218776194875806E8 6.2596583266115904E7 4.448030640842986E9
2031-11-21_03:23:26 7.489885077064906E8 1.9770274006086317E8 4.398796201442737E9
2033-12-12_12:23:26 1.0717115039021955E9 3.3169657100492185E8 4.322037565982421E9
2036-01-03_21:23:26 1.3882337042797072E9 4.638449941914554E8 4.217552850874542E9
2038-01-25_06:23:26 1.6960286551205041E9 5.931030814990972E8 4.0853317013845325E9
2040-02-16_15:23:26 1.9923242471314788E9 7.182919419300516E8 3.926492427922408E9
2042-03-10_00:23:26 2.275186321038983E9 8.385718995685359E8 3.742921957861879E9
2044-03-31_10:23:26 2.5434249248301E9 9.53428493956768E8 3.53619865453276E9
2046-04-22_19:23:26 2.795972560585276E9 1.0624120165065459E9 3.3073248642732368E9
2048-05-14_04:23:26 3.031319887047592E9 1.1648901977981672E9 3.0569885516028333E9
2050-06-05_13:23:26 3.2473119916505213E9 1.2599428441730952E9 2.7862288605106854E9
2052-06-26_22:23:26 3.441860792326507E9 1.3466478458041072E9 2.4972627493263736E9
2054-07-19_07:23:26 3.6138740224356747E9 1.4244964383938057E9 2.192756067278545E9
2056-08-09_16:23:26 3.7628986120214067E9 1.493262824555495E9 1.87488774139685E9
2058-09-01_01:23:26 3.888509491544836E9 1.5527445689259846E9 1.5452477553281238E9
2060-09-22_10:23:26 3.9898230560030932E9 1.6025467052098641E9 1.2051385637377403E9
2062-10-14_19:23:26 4.0653891520873923E9 1.6420138151298568E9 8.564529697710172E8
2064-11-05_03:23:26 4.114197085182032E9 1.6706492280232477E9 5.021564208166209E8
2066-11-27_12:23:26 4.1363072476691117E9 1.688409276512581E9 1.4530676250699386E8
2068-12-18_21:23:26 4.132309240767488E9 1.69549083496516E9 -2.1175684954394478E8
2071-01-10_06:23:26 4.1027306712850137E9 1.6920756231935992E9 -5.672957988231049E8
2073-01-31_15:23:26 4.0475603108683615E9 1.6781183811397216E9 -9.198469268643124E8
2075-02-23_00:23:26 3.966367053805762E9 1.6533739367320464E9 -1.267232830872668E9
2077-03-16_09:23:26 3.8594107425751157E9 1.617870608380419E9 -1.6064590391158931E9
2079-04-07_19:23:26 3.727910076533136E9 1.572051979529628E9 -1.934828993276785E9
2081-04-29_04:23:26 3.573395213273858E9 1.5165116789909654E9 -2.2504413641401987E9
2083-05-21_13:23:26 3.3971949796077213E9 1.451768941503384E9 -2.5520148266539516E9
2085-06-11_22:23:26 3.199958758239163E9 1.3780541461270702E9 -2.838432797836227E9
2087-07-04_07:23:26 2.9821157539282036E9 1.2954798142055495E9 -3.107715534389709E9
2089-07-25_16:23:26 2.744951887240914E9 1.2045100420046704E9 -3.3573503573451505E9
2091-08-17_01:23:26 2.4905419162072134E9 1.1059578850285363E9 -3.585376546998991E9
2093-09-07_10:23:26 2.221102424831444E9 1.000714642961669E9 -3.7906592158367777E9
2095-09-29_19:23:26 1.9384684388359149E9 8.895214406689081E8 -3.9726998278984303E9
2097-10-21_04:23:26 1.6437734438175845E9 7.72815598889895E8 -4.1309231597704387E9
2099-11-12_12:23:26 1.3381679631641264E9 6.510192268908087E8 -4.2638838310677004E9
2101-12-04_21:23:26 1.023740707326108E9 5.249505146500913E8 -4.36995261848118E9
2103-12-27_06:23:26 7.030896834778239E8 3.956653033631098E8 -4.448282316370043E9
2106-01-17_15:23:26 3.787888301149863E8 2.642281776983842E8 -4.498874722737022E9
2108-02-09_00:23:26 5.280354661606835E7 1.3145701778135036E8 -4.52229865374345E9
2110-03-02_09:23:26 -2.736421027716246E8 -2155126.5846367185 -4.518807725927667E9
2112-03-23_18:23:26 -5.99106384226789E8 -1.360425114828954E8 -4.487804029991416E9
2114-04-15_04:23:26 -9.212880306266457E8 -2.6926870980589545E8 -4.428784971834542E9
2116-05-06_13:23:26 -1.2375855886736102E9 -4.00747964501111E8 -4.342070444697557E9
2118-05-28_22:23:26 -1.545621539783683E9 -5.294711495642182E8 -4.2287990866673903E9
2120-06-19_07:23:26 -1.843824021343072E9 -6.547637008660039E8 -4.090472152309909E9
2122-07-11_16:23:26 -2.1312584644552104E9 -7.762377427705872E8 -3.927999247653666E9
2124-08-02_01:23:26 -2.4065376363969536E9 -8.933291337320163E8 -3.7415319325179358E9
2126-08-24_10:23:26 -2.6675096791883197E9 -1.0051371185218731E9 -3.5315639559815154E9
2128-09-14_19:23:26 -2.911901922566422E9 -1.110687238012729E9 -3.299436701029755E9
2130-10-07_04:23:26 -3.1378809987862244E9 -1.209173404602313E9 -3.0472301533713202E9
2132-10-28_12:23:26 -3.344493340495229E9 -1.300159682085211E9 -2.777200959125342E9
2134-11-19_21:23:26 -3.5312768074399815E9 -1.38343729761898E9 -2.4908139191341267E9
2136-12-11_06:23:26 -3.697203320601115E9 -1.458566752733759E9 -2.188925717646378E9
2139-01-02_15:23:26 -3.8406537674065385E9 -1.5248399889887216E9 -1.8729594513959472E9
2141-01-24_00:23:26 -3.9601163632951903E9 -1.581573499868951E9 -1.5451121742629716E9
2143-02-15_09:23:26 -4.0547001122171564E9 -1.6283327666753728E9 -1.2081650720301828E9
2145-03-08_18:23:26 -4.124463846505563E9 -1.6650905650680797E9 -8.647570217560384E8
2147-03-31_04:23:26 -4.1697175241495767E9 -1.691948529178418E9 -5.165283389790474E8
2149-04-21_13:23:26 -4.1900741967707705E9 -1.708716539009035E9 -1.6473534030005014E8
2151-05-13_22:23:26 -4.1847567590070553E9 -1.7150198007229514E9 1.8872725877356583E8
2153-06-04_07:23:26 -4.1532217502863235E9 -1.710566131528089E9 5.41336971688972E8
2155-06-26_16:23:26 -4.0956530559212365E9 -1.695362087156622E9 8.901572596126355E8
2157-07-18_01:23:26 -4.0131213312924337E9 -1.669802230701972E9 1.232716737272804E9
2159-08-09_10:23:26 -3.9066334289272285E9 -1.6342759253186803E9 1.5675836493448918E9
2161-08-30_19:23:26 -3.7764634376835303E9 -1.588858394404733E9 1.8934405924839563E9
2163-09-22_04:23:26 -3.62267039416231E9 -1.5335147281274316E9 2.208342049917858E9
2165-10-13_13:23:26 -3.4456845187296658E9 -1.4683514377221503E9 2.5097420897678175E9
2167-11-04_21:23:26 -3.246779807207841E9 -1.3938286415841641E9 2.7949172477445016E9
2169-11-26_06:23:26 -3.028006405151154E9 -1.3107544361714473E9 3.0619220893512278E9
2171-12-18_15:23:26 -2.791033970797616E9 -1.2197976553402393E9 3.3098676024492373E9
2174-01-09_00:23:26 -2.536867470162379E9 -1.1213369227439032E9 3.537762035111029E9
2176-01-31_09:23:26 -2.266418918147756E9 -1.0156958192985699E9 3.7440526480809464E9
2178-02-21_18:23:26 -1.981055040387455E9 -9.033796365763602E8 3.9267314629438515E9
2180-03-15_03:23:26 -1.683004245721992E9 -7.852629565090331E8 4.083889610483416E9
2182-04-06_13:23:26 -1.2158749806217794E9 -6.034590095347437E8 4.269617880384076E9
