#time X Y Z
2017-11-02_00:05:26 -1.386899738534091E9 -5.666456559644018E8 -1.3999707563279107E8
2018-03-16_11:47:26 -1.3916728182792497E9 -5.731703509030915E8 -3.3925537632024065E7
2018-07-29_00:29:26 -1.3891021199645927E9 -5.7667168105716E8 7.237357376590696E7
2018-12-10_11:11:26 -1.3791939570481963E9 -5.771281241008313E8 1.7833620731524065E8
2019-04-23_23:53:26 -1.3620062247934804E9 -5.745353243524488E8 2.833008960979046E8
2019-09-05_11:35:26 -1.3375953290535643E9 -5.688982324829805E8 3.8683662984833765E8
2020-01-17_22:17:26 -1.3060909555714555E9 -5.602425216462302E8 4.8829004531693137E8
2020-05-31_10:59:26 -1.2676428853968601E9 -5.486066818713886E8 5.871135667626036E8
2020-10-12_22:41:26 -1.2223885941530702E9 -5.3402824941975147E8 6.828566466596494E8
2021-02-24_09:23:26 -1.1705768004147794E9 -5.1658334812774813E8 7.748982833478098E8
2021-07-08_22:05:26 -1.112456924813337E9 -4.963529439631562E8 8.627239244948487E8
2021-11-20_08:47:26 -1.048249377011931E9 -4.734098943475158E8 9.459089629541904E8
2022-04-03_21:29:26 -9.783448482625232E8 -4.47890260481316E8 1.0238623560345395E9
2022-08-16_09:11:26 -9.0300191954928E8 -4.198849261031811E8 1.0962105494327676E9
2022-12-28_19:53:26 -8.226665554562637E8 -3.8955592851138026E8 1.1624343398679972E9
2023-05-12_08:35:26 -7.377540437919904E8 -3.5705690117577755E8 1.2221137523239188E9
2023-09-23_20:17:26 -6.486254762150054E8 -3.2252219923620164E8 1.2749015349289358E9
2024-02-05_06:59:26 -5.558337225210316E8 -2.8616207284241545E8 1.320374853589261E9
2024-06-18_19:41:26 -4.5988240252932864E8 -2.481702921777526E8 1.3582020003204448E9
2024-10-31_06:23:26 -3.612085905552353E8 -2.0871564858831695E8 1.388110555562689E9
2025-03-14_18:05:26 -2.604877280625257E8 -1.6806398582290652E8 1.4097972897368298E9
2025-07-27_06:47:26 -1.5820477190460986E8 -1.2640684823903017E8 1.4230607314716606E9
2025-12-08_17:29:26 -5.495868596899295E7 -8.398335608790046E7 1.4277115775189857E9
2026-04-22_06:11:26 4.853423617326795E7 -4.108341586785829E7 1.4236155916107001E9
2026-09-03_17:53:26 1.5176480041720253E8 2086610.5712049997 1.4106843679915779E9
2027-01-16_04:35:26 2.5398589308282956E8 4.5219299609961025E7 1.3888962181067863E9
2027-05-30_17:17:26 3.545378670814373E8 8.804091906977236E7 1.3582862462803884E9
2027-10-12_04:59:26 4.52846616824248E8 1.3031228022240911E8 1.3189078363391726E9
2028-02-23_15:41:26 5.481517874943823E8 1.7171189642534328E8 1.2709408121036143E9
2028-07-07_04:23:26 6.39792435969763E8 2.1195766208860305E8 1.214603726300273E9
2028-11-18_15:05:26 7.271972692027441E8 2.508044398854455E8 1.150116025303431E9
2029-04-02_03:47:26 8.096192312142814E8 2.879258744332768E8 1.0778989985369594E9
2029-08-14_15:29:26 8.865433893468137E8 3.2309584475181586E8 9.982707755448225E8
2029-12-27_02:11:26 9.573077905826555E8 3.560178721771985E8 9.117744432586842E8
2030-05-10_14:53:26 1.0213664782773814E9 3.8644340314268404E8 8.189514994064367E8
2030-09-22_02:35:26 1.078266364646233E9 4.1416370760035694E8 7.203080525891844E8
2031-02-03_13:17:26 1.1274906045110006E9 4.389336657439314E8 6.165842337621746E8
2031-06-18_01:59:26 1.1686406534429467E9 4.605584089322702E8 5.084865967869793E8
2031-10-30_12:41:26 1.20140526580402E9 4.7888172302230984E8 3.9666042259354824E8
2032-03-13_00:23:26 1.2254635054869232E9 4.937314013599309E8 2.8203049349372804E8
2032-07-25_13:05:26 1.2406309116702611E9 5.0500067817118466E8 1.6530956078143126E8
2032-12-06_23:47:26 1.246761338497707E9 5.1259315383304083E8 4.7337505866887935E7
2033-04-20_12:29:26 1.2437910074541967E9 5.164410294608834E8 -7.092000829543993E7
2033-09-02_00:11:26 1.2317306433506074E9 5.165180221037884E8 -1.8874840516500992E8
2034-01-14_10:53:26 1.2106782487324514E9 5.1282305435019296E8 -3.0518121920619166E8
2034-05-28_23:35:26 1.1808084140624702E9 5.0539200640313685E8 -4.193766745186611E8
2034-10-10_11:17:26 1.1423286467434878E9 4.942797154401744E8 -5.306179673884142E8
2035-02-21_21:59:26 1.09557987036237E9 4.79588397579067E8 -6.380083145178587E8
2035-07-06_10:41:26 1.0409445524340544E9 4.6144373097945136E8 -7.40797149137155E8
2035-11-17_21:23:26 9.788044232767298E8 4.3997687741333663E8 -8.383678391749346E8
2036-03-31_10:05:26 9.097279644245373E8 4.153891527912559E8 -9.299411250955923E8
2036-08-12_21:47:26 8.341709281733378E8 3.878478414000896E8 -1.0150286415338305E9
2036-12-25_08:29:26 7.527845002031002E8 3.57595188699009E8 -1.0930083450414858E9
2037-05-08_21:11:26 6.661933474867657E8 3.248691236262144E8 -1.1634124417982364E9
2037-09-20_08:53:26 5.749627237274923E8 2.8988831754803455E8 -1.225895604731357E9
2038-02-01_19:35:26 4.7984480314259875E8 2.5294625051771104E8 -1.2800572571795511E9
2038-06-16_08:17:26 3.815269977256219E8 2.143155905861213E8 -1.3256347597145128E9
2038-10-28_19:59:26 2.806088623850807E8 1.7423692393975848E8 -1.3624633826583078E9
2039-03-12_06:41:26 1.7787727766439345E8 1.3302766094412449E8 -1.3903677054585E9
2039-07-24_19:23:26 7.402380722628035E7 9.097053891131297E7 -1.409282978781686E9
2039-12-06_06:05:26 -3.0367848250484638E7 4.8306552911699556E7 -1.4192112795281882E9
2040-04-18_18:47:26 -1.345026818628544E8 5365273.97439336 -1.420188024791862E9
2040-08-31_06:29:26 -2.3786254652482706E8 -3.7635056836870454E7 -1.412318329366588E9
2041-01-12_17:11:26 -3.3972647124857575E8 -8.039011447146577E7 -1.3957622554519875E9
2041-05-27_05:53:26 -4.394969125720269E8 -1.2264412913507788E8 -1.3707343065758047E9
2041-10-08_17:35:26 -5.366936452562673E8 -1.6418918767062667E8 -1.337460213735097E9
2042-02-20_04:17:26 -6.306821120945088E8 -2.047494235880238E8 -1.296262867219141E9
2042-07-04_16:59:26 -7.209527728600271E8 -2.4409968149673122E8 -1.2474845409951339E9
2042-11-16_03:41:26 -8.071062978334957E8 -2.8206115264361113E8 -1.1914471010615842E9
2043-03-30_16:23:26 -8.885870764676411E8 -3.1838413161708736E8 -1.1286221620366914E9
2043-08-12_04:05:26 -9.65080063563914E8 -3.5292336537508565E8 -1.0593622760615889E9
2043-12-24_14:47:26 -1.0361297392236785E9 -3.85468686691504E8 -9.841834348803737E8
