#hip,pmra,pmdec
1,-4.55,-1.19
6,225.56,-14.44
14,61.35,-10.78
18,-126.14,23.46
31,-4.16,0.69
44,12.48,16.89
51,9.92,7.36
56,41.04,-2.1
93,55.72,-72.92
134,22.17,5.4
135,21.41,-114.22
145,19.08,-9.66
159,39.21,-2.84
168,-38.44,-92.92
223,60.57,-92.06
224,3.48,4.32
236,19.15,-17.87
239,5.73,-1.9
267,-21.5,-10.37
294,-23.67,-12.69
368,20.94,0.58
383,5.67,4.44
384,-20.23,-19.99
416,109.07,-49.8
417,45.5,-53.67
429,41.82,-43.58
433,-10.76,3.65
438,49.85,13.97
448,-21.32,-6.59
453,-6.08,-32.51
489,-81.23,-123.78
511,15.16,-8.47
515,-9.44,-46.35
521,-21.09,-33.18
556,59.97,-88.04
565,53.59,7.24
569,-123.59,-222.3
604,-80.88,-4.67
628,-15.74,-22.2
635,29.33,1.91
664,7.15,-4.84
675,33.47,-34.63
700,39.91,-4.2
717,6.09,4.71
752,3.26,7.15
766,-38.44,-39.96
769,29.53,5.12
788,-29.47,41.79
803,3.01,-14.99
806,7.33,-7.59
868,1.43,3.84
870,-11.81,18.09
892,41.82,-20.44
900,9.93,-5.65
906,28.26,-12.18
925,25.91,-9.74
931,147.72,-11.26
968,11.4,-0.48
1018,78.18,0.89
1033,0.18,-11.83
1040,46.06,-13.71
1082,-91.19,-441.3
1087,70.92,-23.69
1107,-25.67,-14.22
1120,46.85,-19.83
1121,1.29,-15.42
1127,26.69,-10.12
1145,1.54,-11.43
1153,-10.17,-29.85
1169,14.01,-11.18
1179,-29.9,-15.49
1189,41.09,-10.31
1192,-55.9,-25.51
1241,6.44,-0.68
1264,-3.64,-10.6
1272,21.15,-14.2
1321,-102.89,-52.12
1325,5.29,12.41
1360,25.91,-8.36
1365,25.88,11.56
1380,37.87,22.26
1384,-18.14,-21.05
1385,-64.51,-100.89
1397,17.4,108.04
1420,105.92,-108.23
1421,91.0,9.39
1424,-4.03,4.97
1437,329.72,98.72
1455,-30.54,2.28
1470,35.84,-1.71
1512,227.92,-49.14
1539,-25.32,-217.36
1545,-3.12,-7.29
1587,-7.27,36.38
1596,-5.54,5.61
1601,156.26,-50.92
1609,10.12,-10.56
1632,59.18,-19.73
1653,31.45,10.83
1661,15.55,-18.46
1663,-1.11,-6.15
1684,87.07,4.01
1691,27.06,62.46
118286,21.42,5.48
118293,150.03,29.66
118298,36.02,-57.99
118307,-4.46,-24.82
118312,79.47,-21.95
2,182.88,-1.31
13,7.87,-9.88
24,126.75,21.99
26,-101.58,-32.89
33,-1.1,28.33
35,163.25,-1.0
39,167.23,-32.19
46,14.72,-14.03
53,10.54,-11.53
64,-7.66,-13.89
72,188.13,-119.03
77,18.6,2.29
80,416.41,-83.64
82,-7.19,-65.68
85,46.75,-0.22
92,26.04,14.69
94,48.59,-13.19
95,-10.32,-13.61
97,15.57,1.2
104,-36.68,1.67
112,295.82,-254.35
118,47.0,0.66
130,17.63,-12.84
138,93.23,23.95
146,-132.76,-342.59
152,-15.17,4.23
163,18.34,1.92
165,-6.73,-7.18
170,-31.74,-8.47
177,8.59,-1.68
178,93.09,8.33
179,263.13,32.85
180,2.55,-13.74
183,9.34,14.5
203,21.36,7.3
212,20.73,3.38
225,21.43,-4.49
226,53.85,-17.38
232,19.47,2.48
238,101.08,78.03
251,-29.15,-26.89
253,54.44,-1.74
255,52.42,11.92
257,18.42,3.53
261,10.41,-36.24
266,-10.21,-64.52
272,13.31,-1.31
275,-24.02,-20.88
287,21.8,-10.55
290,94.7,-44.38
291,10.26,-0.09
296,280.79,-141.5
301,25.17,-9.16
305,88.64,-16.36
320,37.44,-3.37
321,109.32,-46.84
328,21.27,1.53
331,8.36,-14.69
333,-16.45,-17.81
337,-136.84,-189.95
341,-1.54,-5.11
342,28.94,-52.6
343,47.64,-61.36
345,28.43,4.03
349,19.65,2.41
355,-6.85,-12.02
356,-43.19,-16.71
362,-9.59,-12.7
364,-2.95,-11.12
366,10.4,-0.16
382,-19.76,-8.72
