#X Y Z pseudosize
0.88803864 -1.2200958 0.028175868 1.4323038
-1.0529935 -0.051091313 0.08299027 0.0019452013
1.5685594 -0.60885024 -0.046089727 0.56059426
-1.3944811 -1.5145919 -0.02765137 0.5902451
-0.055852056 -1.3914957 -0.01785681 0.3799328
-0.16991138 1.829422 -0.007945788 0.32251948
-0.7797271 -1.8037837 0.023949206 0.17271149
-0.61861813 -1.5484875 0.0091942195 0.21441332
1.0921266 1.6473887 -0.057387047 1.0935181
-0.64537954 -0.854962 0.011287752 1.8932337
-1.0079088 0.07268119 -0.004382869 0.103937775
1.7726436 1.1369402 -0.0081186 0.1634761
-0.24294901 0.61891294 0.08157696 0.564969
0.5657058 -1.886565 0.0334245 0.976361
1.3727977 -0.2870847 -0.004942761 0.38218564
-1.9210166 -0.7599312 0.041671507 1.185844
-0.32236278 0.09091401 -0.01685846 2.8911622
0.3798132 -0.2009803 0.012443566 1.8889436
-0.93635964 0.4681692 0.025054818 1.077443
-1.0183668 -0.7563802 0.028845882 0.15019071
0.3570869 0.9563582 -0.0010150968 0.78514653
1.0986562 1.0008743 -0.036710475 1.1797285
1.8399184 -0.40251434 0.051551547 1.8666505
-1.5012435 -0.42132795 -0.04165681 1.626183
1.0890093 -0.9403684 0.012368768 0.539568
-1.5859174 -0.5633986 -0.043488946 0.5773483
0.9508767 -1.1262964 -0.04143155 0.35322666
0.4889779 0.3231051 0.013884629 0.052558113
-0.06146288 -1.5355182 0.002919043 1.1520967
-1.5130581 0.5568793 -0.030169131 0.26835418
-0.87682116 -1.5504909 0.12520598 0.36561534
1.0201628 -0.8749409 0.056718066 0.84896195
-0.20361948 0.8334055 -0.012920474 1.3439724
0.91060233 1.3276997 -0.024691055 0.1257843
1.737145 -1.3403367 -0.006324287 0.22182493
-1.3900437 1.7578316 0.039620034 0.08702371
-1.0967833 -1.2060149 -0.03479225 0.17124255
-0.8393674 0.23081684 -0.0012284081 0.86331975
-1.9932221 0.3647945 -0.14725785 0.8600247
1.3972638 -0.65787184 0.035862453 1.0308104
-1.3510542 1.3721747 0.0010519979 1.3376812
0.24632931 1.0125635 0.053422987 0.28627586
-1.4508252 -0.31928015 0.049347207 2.448843
-1.9011691 0.8506937 -0.02473356 1.3766158
-0.8305254 0.32690597 -0.020263359 1.1044239
1.9966135 -1.714908 -0.03209127 0.37179336
1.7805016 0.94943976 0.0565699 1.1607455
-1.4633776 -1.8468562 -0.0019354287 1.1147069
0.14657664 0.39349127 -0.017658832 0.59402585
0.020653486 0.055933475 -0.0439744 0.2879973
1.0285075 -0.31163418 -0.049516104 0.36254755
-1.0016031 0.90033865 -0.024981862 2.1113539
-1.9122539 -1.9207126 -0.0180299 0.139344
0.38414168 -1.8436104 -0.009804155 0.31510717
-0.79085577 -1.7944642 -0.040542703 0.27720407
0.1533246 -0.31539905 -0.017340848 1.6762394
-0.6435505 -0.7321385 0.08173545 0.73912627
-0.77800584 0.75713634 0.03962093 0.66824275
-1.8836052 -1.7649814 -0.011314351 0.4072414
-0.40105498 -1.4019344 -0.058998466 1.3810315
1.3907397 0.3533666 0.011094005 0.9897121
-1.2404372 1.0112462 -0.028016595 1.1763242
-1.1588035 0.9822247 0.17092168 1.8080788
1.5833285 -0.1981579 0.04730832 0.9050636
0.0588696 1.7400942 -0.0551361 0.016407343
-0.3219309 -1.0559566 -0.08457501 0.8110029
-0.9103575 -1.7967073 0.0022308212 1.112395
0.62219477 -1.4435904 -2.268693E-4 0.798673
0.59059954 -1.3174564 -0.10903667 0.5202459
-0.40833557 0.55364466 0.05603084 2.714354
-0.32208836 1.1274135 0.001758606 0.50731283
0.5856519 -1.6041634 -0.05889356 1.5230905
1.9009006 -1.3277445 -0.027999684 1.3518113
1.4383523 0.17736006 -0.02681187 1.630335
-0.99264693 -1.1774768 -0.008016629 0.93015784
-0.05107844 0.26425934 0.019304223 0.42043543
1.190093 0.9269583 -0.02521328 1.7466824
0.38907313 -0.5948591 -0.017585136 0.31164473
-1.5620704 -0.38685334 0.033797115 2.4413433
-0.037770033 1.8765893 -0.09747593 0.7344429
