name,raj2000,dej2000,dist,pmra,pmde,rv,rcluster,n_star
Hyades,67.16,15.87,48.4,108.42e-06,-26.74e-06,,2.1,150
RSG1,75.57,37.56,324.0,5.555398e-08,-3.422125168e-06,,0.1,15
RSG2,110.58,54.70,200.0,-8.388650979999999e-07,-7.799778792e-06,,0.1,50
RSG3,126.12,-08.81,437.0,-2.216603802e-06,1.202743667e-06,,0.1,19
RSG4,288.54,56.97,363.0,-7.4997873e-08,1.586066129e-06,,0.1,16
RSG5,303.67,45.59,355.0,9.47195359e-07,6.16649178e-07,,0.1,45
RSG6,307.49,40.08,347.0,1.627731614e-06,5.47206703e-07,,0.05,54
RSG7,343.98,58.66,457.0,1.5943992259999999e-06,-1.1666335799999999e-07,,0.05,21
RSG8,344.54,59.16,331.0,1.6138431189999997e-06,-1.9443892999999997e-07,,0.05,19
RSG9y,72.75,52.23,224.0,2.330489461e-06,-4.230435577e-06,,0.05,13
RSG9o,72.75,52.23,224.0,2.330489461e-06,-4.230435577e-06,,0.05,13
Berkeley 58,0.0675,60.933,2700.0,1.55556E-7,4.33333E-7,,0.155,17033
NGC 7801,0.0825,50.727,1953.0,-8.88889E-7,-9.63889E-7,,0.156,6322
FSR 0459,0.1275,59.242,2926.0,-4.61111E-7,-2.77778E-9,,0.09,9871
Stock 18,0.3975,64.625,774.0,-9.97222E-7,-3.19444E-7,,0.08,10586
Berkeley 59,0.5595,67.425,1000.0,-8.88889E-7,-3.08333E-7,-12.5,0.22,14800
Cep OB4,0.735,67.5,850.0,-2.58333E-7,-7.16667E-7,0.0,0.76,60259
Blanco 1,0.885,-30.0,250.0,5.475E-6,6.33333E-7,5.48,2.35,27377
Berkeley 104,0.852,63.58,3599.0,-1.26944E-6,-1.21389E-6,,0.135,15869
IRAS 00013+6817,0.996,68.565,1338.0,-9.77778E-7,-4.30556E-7,,0.09,7318
FSR 0504,1.455,81.84,3744.0,-9.91667E-7,2.175E-6,,0.08,2124
BDB 94,1.68,65.629,1700.0,-7.58333E-7,-6.63889E-7,,0.085,8551
Czernik 1,1.902,61.49,2609.0,-1.06389E-6,4.61111E-7,,0.07,9551
SAI 1,2.112,51.724,1905.0,-1.16667E-6,-4.94444E-7,,0.065,4647
ASCC 1,2.4135,62.704,1600.0,-1.10278E-6,-8.83333E-7,-69.67,0.105,12863
Berkeley 1,2.4,60.467,10300.0,-7.5E-8,-6.38889E-7,,0.07,9428
King 13,2.514,61.184,3100.0,-3.88889E-8,-8.30556E-7,,0.115,12641
Alessi 20,2.667,58.748,470.0,1.76111E-6,-6.97222E-7,-11.5,0.305,20606
FSR 0474,2.685,59.735,4638.0,-3.91667E-7,-5.55556E-9,,0.09,9466
FSR 0480,3.7365,61.471,5492.0,-8.61111E-8,-6.47222E-7,,0.14,14364
PTB 7,3.801,68.318,3233.0,-6.11111E-8,-3.08333E-7,,0.165,10204
BDSB 48,3.8625,61.26,8000.0,-6.69444E-7,-9.02778E-7,,0.07,10269
Juchert-Saloran 1,4.0815,59.962,5326.0,-6.61111E-7,-3.44444E-7,,0.125,11019
Berkeley 60,4.425,60.934,3299.0,-1.38889E-7,-1.05E-6,,0.09,10759
ASCC 2,4.875,55.645,2301.0,-4.33333E-7,-3.72222E-7,,0.22,11733
FSR 0486,5.103,59.332,1850.0,-6.52778E-7,-4.05556E-7,,0.06,7591
FSR 0479,5.3115,54.827,2038.0,-9.52778E-7,-4.22222E-7,,0.09,6214
Mayer 1,5.514,61.741,1430.0,-1.075E-6,-9.08333E-7,-20.9,0.115,12804
King 1,5.5155,64.384,1659.0,-7.44444E-7,-1.19722E-6,,0.22,21118
FSR 0477,5.745,51.883,1908.0,-1.04444E-6,5.61111E-7,,0.12,6090
SAI 4,5.907,62.71,1600.0,-1.25833E-6,-1.06389E-6,-100.7,0.067,11033
FSR 0515,12.6825,54.765,2362.0,-1.18611E-6,-6.5E-7,,0.085,6277
NGC 104,6.0045,-72.081,4501.0,9.55556E-7,0.0,-18.0,0.95,25180
Stock 20,6.3135,62.602,1100.0,-7.11111E-7,-9.0E-7,,0.14,15978
NGC 103,6.27,61.34,2501.0,-6.91667E-7,-1.00556E-6,-116.7,0.09,11720
Berkeley 2,6.3165,60.382,5499.0,2.97222E-7,-7.44444E-7,,0.1,11268
FSR 0494,6.42,63.75,5087.0,-8.25E-7,-7.38889E-7,,0.165,17399
FSR 0496,6.675,64.03,1123.0,-8.05556E-8,-6.88889E-7,,0.17,17034
NGC 110,6.855,71.422,1600.0,7.63889E-7,1.05E-6,,0.115,6345
SAI 6,6.978,60.677,3100.0,-8.33333E-8,-3.77778E-7,-47.0,0.12,12870
FSR 0481,7.2345,43.279,2164.0,9.72222E-7,3.63889E-7,,0.11,2728
FSR 0498,7.275,62.409,1800.0,-1.07222E-6,-5.13889E-7,,0.095,12447
FSR 0503,7.3575,68.894,4701.0,1.47222E-7,2.83333E-7,,0.14,9223
Stock 21,7.5615,57.931,1700.0,-2.97222E-7,-7.66667E-7,,0.155,12114
NGC 129,7.542,60.203,1685.0,-6.11111E-7,-3.22222E-7,-38.03,0.155,14148
ASCC 3,7.77,55.275,1550.0,-4.36111E-7,-6.30556E-7,-37.0,0.24,13548
NGC 133,7.8195,63.345,1861.0,-5.33333E-7,-3.25E-7,,0.08,12441
NGC 136,7.9005,61.51,3519.0,8.61111E-8,-3.22222E-7,,0.125,13643
King 14,8.0145,63.181,2600.0,-1.04167E-6,-4.30556E-7,,0.14,16608
King 15,8.199,61.89,5500.0,-9.08333E-7,-8.61111E-8,,0.095,11781
NGC 146,8.226,63.305,2800.0,-1.15833E-6,-6.19444E-7,,0.16,17930
NGC 189,9.87,61.115,1300.0,-8.61111E-8,-7.52778E-7,,0.12,12812
Stock 24,9.9405,61.965,2400.0,-4.61111E-7,3.61111E-7,,0.145,14791
Dolidze 12,10.1925,60.855,4000.0,-2.0E-7,-2.75E-7,,0.13,13135
FSR 0508,10.473,64.956,5053.0,6.19444E-7,-1.94444E-8,,0.055,9360
Dias 1,10.653,64.06,2186.0,-2.38889E-7,3.69444E-7,,0.14,15013
NGC 225,10.8,61.782,850.0,-8.58333E-7,-2.08333E-7,-28.0,0.18,16123
Czernik 2,10.9245,60.152,4500.0,-1.97222E-7,-2.77778E-7,,0.11,10937
King 16,10.965,64.18,2325.0,-1.83333E-7,4.38889E-7,,0.13,14338
FSR 0507,11.01,52.36,2203.0,-1.46111E-6,1.02778E-7,,0.15,5717
Berkeley 4,11.268,64.382,3300.0,-6.38889E-8,2.80556E-7,,0.17,16952
NGC 188,11.85,85.255,2000.0,4.16667E-8,-3.97222E-7,-45.0,0.57,10805
Berkeley 61,12.0795,67.193,2153.0,-5.41667E-7,2.72222E-7,,0.1,9070
Dolidze 13,12.51,64.091,2400.0,-4.13889E-7,6.80556E-7,,0.11,13071
FSR 0516,12.6375,65.965,810.0,-5.0E-7,-1.25E-7,,0.17,13695
King 2,12.732,58.201,5499.0,-4.75E-7,-2.22222E-8,-144.25,0.1,9176
FSR 0518,12.81,44.285,2154.0,-2.45833E-6,-1.68056E-6,,0.2,4111
Cas OB7,12.465,64.14,2600.0,-9.72222E-8,2.61111E-7,-50.0,0.27,24784
FSR 0519,13.122,64.667,1517.0,8.33333E-9,6.86111E-7,,0.14,13977
NGC 288,13.1925,-26.585,8912.0,2.38611E-6,-2.42778E-6,-45.4,0.31,1679
IC 1590,13.2,56.63,2400.0,-5.0E-7,-5.05556E-7,-32.46,0.23,14208
FSR 0521,13.245,59.835,2534.0,-3.77778E-7,-5.0E-8,,0.125,11857
ASCC 4,13.32,61.6,550.0,-3.19444E-7,-1.75E-7,-9.24,0.21,17001
Alessi 1,13.3275,49.48,750.0,1.70278E-6,-2.09167E-6,6.0,0.425,12438
FSR 0522,13.5,65.797,2094.0,-3.22222E-7,5.36111E-7,,0.105,10271
FSR 0524,14.3205,62.125,1841.0,-4.36111E-7,-1.94444E-8,,0.11,11015
ASCC 5,14.4075,55.855,523.0,-5.05556E-7,-8.75E-7,-43.0,0.19,11711
Skiff J0058+68.4,14.5425,68.465,2000.0,-5.08333E-7,2.19444E-7,,0.32,19777
Berkeley 62,15.2775,63.935,2000.0,-7.36111E-7,4.72222E-7,,0.16,14977
Czernik 3,15.7875,62.787,1600.0,-4.30556E-7,1.0E-7,,0.08,9750
NGC 362,15.825,-70.847,8603.0,2.11944E-6,-1.29722E-6,223.5,0.235,4157
Cas OB1,15.06,61.46,3000.0,-5.27778E-7,-2.97222E-7,-42.0,0.6,53660
NGC 366,16.635,62.224,2200.0,-1.33333E-7,-5.77778E-7,,0.16,14267
Pfleiderer 1,17.01,65.662,4126.0,6.83333E-7,8.88889E-8,,0.09,8792
NGC 381,17.1075,61.579,1200.0,6.11111E-8,-5.75E-7,-22.0,0.18,16315
BDSB 51,17.1525,63.118,12002.0,-9.72222E-8,1.50278E-6,,0.065,9083
FSR 0530,17.985,56.985,3501.0,-8.91667E-7,3.05556E-8,,0.12,8184
Stock 3,18.0375,62.258,1363.0,-3.61111E-8,-1.77778E-7,-6.0,0.11,11144
Platais 2,18.225,32.05,190.0,3.84722E-6,-3.13611E-6,6.53,1.32,20939
NGC 433,18.801,60.123,1650.0,-6.44444E-7,-4.44444E-7,-36.91,0.14,12516
NGC 436,18.996,58.811,3000.0,-5.27778E-7,-5.97222E-7,-74.28,0.155,11613
FSR 0534,19.359,61.3,1800.0,-6.02778E-7,-8.38889E-7,,0.1,11185
FSR 0537,19.7685,60.347,2075.0,-6.11111E-8,-8.44444E-7,,0.1,10967
NGC 457,19.905,58.28,2400.0,-5.33333E-7,-6.08333E-7,-32.69,0.22,14592
FSR 0544,19.9575,52.667,1799.0,-7.61111E-7,3.83333E-7,,0.165,6248
FSR 0536,19.9335,63.067,3001.0,-3.22222E-7,5.5E-7,,0.16,15100
FSR 0538,20.5125,63.703,2146.0,-2.63889E-7,7.69444E-7,,0.115,12905
FSR 0542,21.45,62.985,1934.0,3.38889E-7,-6.41667E-7,,0.14,14346
SAI 14,21.5175,62.613,5086.0,6.22222E-7,-1.10556E-6,,0.12,13179
FSR 0560,21.9975,44.155,1907.0,-3.05556E-8,-5.41667E-7,,0.15,3451
NGC 559,22.38,63.302,2200.0,-8.19444E-7,-2.97222E-7,-37.7,0.3,26177
FSR 0547,22.4385,60.713,2800.0,2.36111E-7,-1.08333E-7,,0.08,9826
NGC 581,23.316,60.652,2199.0,-3.16667E-7,1.02778E-7,-41.43,0.17,14811
FSR 0531,23.355,74.742,3896.0,9.41667E-7,-5.77778E-7,,0.165,5756
Czernik 4,23.9025,61.463,1632.0,5.11111E-7,-5.11111E-7,-11.4,0.07,9531
Trumpler 1,23.91,61.275,2399.0,1.86111E-7,-6.0E-7,-65.0,0.08,10172
NGC 609,24.0945,64.535,4499.0,-1.25E-7,-3.83333E-7,,0.125,12424
FSR 0546,24.3,65.85,2501.0,6.44444E-7,1.0E-7,,0.15,12112
FSR 0549,24.912,65.921,6001.0,5.13889E-7,2.97222E-7,,0.09,9320
FSR 0551,24.9255,64.875,3500.0,5.83333E-7,-3.13889E-7,,0.07,9957
FSR 0553,25.2345,64.515,7500.0,-3.19444E-7,2.41667E-7,,0.12,13700
