#time X Y Z
2018-03-24_01:58:41 -6360708.56226907 -2757247.3950468777 -1.4894131561115006E8
2018-03-24_19:29:53 -8088820.890118605 -3506522.2428751644 -1.4887185599547163E8
2018-03-25_13:01:05 -9815513.290594805 -4255191.769581207 -1.4877868872716802E8
2018-03-26_06:32:17 -1.154051223112527E7 -5003135.604799681 -1.4866186835960743E8
2018-03-27_00:03:29 -1.3263549280556556E7 -5750235.280016651 -1.4852145300559205E8
2018-03-27_17:34:41 -1.4984361073539618E7 -6496374.283326173 -1.4835750335608575E8
2018-03-28_11:05:53 -1.6702689065305013E7 -7241438.038739055 -1.4817008170362952E8
2018-03-29_04:37:05 -1.8418279069060292E7 -7985313.804459513 -1.4795925102876714E8
2018-03-29_22:08:17 -2.013088059001521E7 -8727890.49118264 -1.4772507421597758E8
2018-03-30_15:39:29 -2.184024599422969E7 -9469058.409145735 -1.474676134645564E8
2018-03-31_09:10:41 -2.3546129575319815E7 -1.0208708961665606E7 -1.471869299463936E8
2018-04-01_02:41:53 -2.524828659825175E7 -1.0946734310007667E7 -1.468830837376555E8
2018-04-01_20:13:05 -2.6946472404018134E7 -1.1683027038646288E7 -1.46556134019015E8
2018-04-02_13:44:17 -2.8640441648697346E7 -1.24174798494744E7 -1.4620613950623342E8
2018-04-03_07:15:29 -3.0329947726991307E7 -1.3149985308067556E7 -1.4583315904694477E8
2018-04-04_00:46:41 -3.201474240247246E7 -1.3880435657204749E7 -1.454372523052312E8
2018-04-04_18:17:53 -3.36945756347583E7 -1.4608722701554533E7 -1.4501848045667052E8
2018-04-05_11:49:05 -3.536919557149996E7 -1.5334737758199241E7 -1.445769068298727E8
2018-04-06_05:20:17 -3.7038348659425676E7 -1.6058371660209075E7 -1.4411259745252445E8
2018-04-06_22:51:29 -3.8701779825263344E7 -1.677951479620875E7 -1.4362562148459408E8
2018-04-07_16:22:41 -4.035923268486749E7 -1.7498057169140488E7 -1.431160515422332E8
2018-04-08_09:53:53 -4.201044974862925E7 -1.8213888459397E7 -1.4258396393098888E8
2018-04-09_03:25:05 -4.365517260374962E7 -1.892689808188971E7 -1.4202943881415266E8
2018-04-09_20:56:17 -4.529314206197053E7 -1.9636975230218254E7 -1.4145256034449208E8
2018-04-10_14:27:29 -4.692409827081553E7 -2.034400890593713E7 -1.4085341678575176E8
2018-04-11_07:58:41 -4.854778078276164E7 -2.104788792994725E7 -1.4023210065207794E8
2018-04-12_01:29:53 -5.016392860651608E7 -2.174850094586086E7 -1.395887088834748E8
2018-04-12_19:01:05 -5.1772280236606285E7 -2.244573641219404E7 -1.3892334308639586E8
2018-04-13_12:32:17 -5.3372573704871245E7 -2.313948259951016E7 -1.3823610984939057E8
