#time X Y Z
2018-04-01_00:23:39 -5.2749942050238514E8 -2.1203491463063547E8 -5.778038520702107E8
2018-04-09_16:19:48 -5.333937321178316E8 -2.147265994743323E8 -5.710168034788008E8
2018-04-18_08:15:58 -5.392134695113672E8 -2.1738826415073442E8 -5.641498202593262E8
2018-04-27_00:12:07 -5.449577762813636E8 -2.200195203580239E8 -5.572037523885062E8
2018-05-05_16:08:17 -5.5062579392037E8 -2.2261997856446698E8 -5.501794690543557E8
2018-05-14_08:04:27 -5.562166409505507E8 -2.2518923894691437E8 -5.43077885254384E8
2018-05-23_00:00:36 -5.617294172531189E8 -2.2772689323851737E8 -5.358999622029051E8
2018-05-31_15:56:46 -5.671632155037549E8 -2.3023252967513815E8 -5.286466972842069E8
2018-06-09_07:52:55 -5.725171181992805E8 -2.3270573172030562E8 -5.213191290744656E8
2018-06-17_23:49:05 -5.777902112752488E8 -2.351460839869586E8 -5.139183209153421E8
2018-06-26_15:45:15 -5.829816127313825E8 -2.375531846518378E8 -5.0644532307103986E8
2018-07-05_07:41:24 -5.880904762651341E8 -2.3992664701448014E8 -4.9890116601415277E8
2018-07-13_23:37:34 -5.931159858067383E8 -2.422660971036273E8 -4.912868668323227E8
2018-07-22_15:33:43 -5.980573703047568E8 -2.445711800843191E8 -4.836034056690448E8
2018-07-31_07:29:53 -6.029139068059807E8 -2.4684156161562613E8 -4.7585171411872506E8
2018-08-08_23:26:03 -6.076848966830641E8 -2.4907691756072205E8 -4.680327039889561E8
2018-08-17_15:22:12 -6.12369651382591E8 -2.5127692780648357E8 -4.601472877465093E8
2018-08-26_07:18:22 -6.169674860324459E8 -2.5344127350032184E8 -4.521963886834211E8
2018-09-03_23:14:31 -6.214776967258952E8 -2.5556962723565024E8 -4.441809768563057E8
2018-09-12_15:10:41 -6.258995496633556E8 -2.5766164838587403E8 -4.36102089551403E8
2018-09-21_07:06:51 -6.3023229936897E8 -2.5971699102845585E8 -4.279608057095156E8
2018-09-29_23:03:00 -6.344751980788893E8 -2.617353080154222E8 -4.197582343641654E8
2018-10-08_14:59:10 -6.386274920093331E8 -2.6371624933655542E8 -4.114955270018189E8
2018-10-17_06:55:19 -6.426884367228982E8 -2.656594687712524E8 -4.03173854612539E8
2018-10-25_22:51:29 -6.466573151479971E8 -2.6756463171236366E8 -3.9479437254683626E8
2018-11-03_14:47:39 -6.505334331190746E8 -2.694314132395041E8 -3.863582242156617E8
2018-11-12_06:43:48 -6.543161173713018E8 -2.712594972317177E8 -3.77866543563583E8
2018-11-20_22:39:58 -6.580047219994031E8 -2.7304857914680934E8 -3.6932044048462117E8
2018-11-29_14:36:07 -6.615986145898178E8 -2.747983600099203E8 -3.607210243597114E8
2018-12-08_06:32:17 -6.650971568467822E8 -2.765085380280756E8 -3.520694420151823E8
2018-12-16_22:28:27 -6.684997093003978E8 -2.781788106366548E8 -3.433668685359586E8
2018-12-25_14:24:36 -6.718056372341939E8 -2.798088770522111E8 -3.346144969284824E8
2019-01-03_06:20:46 -6.750143020489326E8 -2.813984344923394E8 -3.2581356486289316E8
2019-01-11_22:16:55 -6.781250650661387E8 -2.8294717979494655E8 -3.169653546934632E8
2019-01-20_14:13:05 -6.811373024957571E8 -2.8445481590401834E8 -3.0807115988529074E8
2019-01-29_06:09:15 -6.84050406872742E8 -2.859210524978536E8 -2.991322796983363E8
2019-02-06_22:05:24 -6.868637891009156E8 -2.8734560686397195E8 -2.9015001509419066E8
2019-02-15_14:01:34 -6.895768928887569E8 -2.887282101421594E8 -2.811256298159858E8
2019-02-24_05:57:43 -6.921891945945987E8 -2.9006860726426226E8 -2.7206034254449177E8
2019-03-04_21:53:53 -6.947001870440801E8 -2.913665499677454E8 -2.6295536273847303E8
2019-03-13_13:50:03 -6.971093761719162E8 -2.926217953711311E8 -2.5381189334457272E8
2019-03-22_05:46:12 -6.994162836439563E8 -2.938341071269776E8 -2.446311182711118E8
2019-03-30_21:42:22 -7.016204369486246E8 -2.950032511236106E8 -2.354142365521889E8
2019-04-08_13:38:31 -7.037213633639954E8 -2.961289928666442E8 -2.261624922947027E8
2019-04-17_05:34:41 -7.057185949117357E8 -2.972110996442392E8 -2.1687716434487203E8
2019-04-25_21:30:51 -7.076116662737839E8 -2.982493396520028E8 -2.0755957702041814E8
2019-05-04_13:27:00 -7.094001123413013E8 -2.992434809422256E8 -1.9821112055149227E8
2019-05-13_05:23:10 -7.1108348056934E8 -3.001932967766145E8 -1.8883321734857947E8
2019-05-21_21:19:19 -7.126613404144396E8 -3.010985697229473E8 -1.794272865228836E8
2019-05-30_13:15:29 -7.141332784533242E8 -3.0195908955951405E8 -1.6999475844340432E8
2019-06-08_05:11:39 -7.154988976097124E8 -3.02774652961839E8 -1.6053706976583454E8
2019-06-16_21:07:48 -7.167578229394505E8 -3.0354506601710445E8 -1.5105562514170143E8
2019-06-25_13:03:58 -7.179096996413299E8 -3.0427014334658575E8 -1.4155180058804843E8
2019-07-04_05:00:07 -7.18954189323097E8 -3.049497064626948E8 -1.3202696517465334E8
2019-07-12_20:56:17 -7.198909716713417E8 -3.055835844814026E8 -1.2248246651331215E8
2019-07-21_12:52:27 -7.207197408644929E8 -3.0617161256755555E8 -1.1291963727532849E8
2019-07-30_04:48:36 -7.214401986390038E8 -3.0671362892008775E8 -1.0333983974606255E8
2019-08-07_20:44:46 -7.220520568656787E8 -3.0720947586632335E8 -9.374446706172884E7
2019-08-16_12:40:55 -7.225550426946741E8 -3.076590020744842E8 -8.413491739749996E7
2019-08-25_04:37:05 -7.229488961361027E8 -3.0806206150344986E8 -7.451261487019044E7
2019-09-02_20:33:15 -7.232333681839292E8 -3.0841851259724116E8 -6.487902719203355E7
