#time X Y Z
2018-03-24_17:23:10 -1.6908896251401705E8 -7.377904285470116E7 -1.389271825440031E8
2018-03-26_02:18:51 -1.7039958512438938E8 -7.444541791286181E7 -1.3651524678073046E8
2018-03-27_11:14:31 -1.7168431909658366E8 -7.510048247806421E7 -1.3408257185776997E8
2018-03-28_20:10:12 -1.7294288011849046E8 -7.574409804304202E7 -1.3162945781004812E8
2018-03-30_05:05:53 -1.7417498590464827E8 -7.637612689003885E7 -1.2915620983560067E8
2018-03-31_14:01:34 -1.7538035627440035E8 -7.699643212615153E7 -1.2666313831389777E8
2018-04-01_22:57:15 -1.765587132317473E8 -7.760487771947816E7 -1.2415055882264183E8
2018-04-03_07:52:55 -1.77709781046372E8 -7.820132853584455E7 -1.2161879215375401E8
2018-04-04_16:48:36 -1.7883328633646548E8 -7.878565037638365E7 -1.1906816432731745E8
2018-04-06_01:44:17 -1.7992895815236163E8 -7.935771001553725E7 -1.1649900660500638E8
2018-04-07_10:39:58 -1.8099652806191143E8 -7.991737523988652E7 -1.1391165550120457E8
2018-04-08_19:35:39 -1.820357302367992E8 -8.046451488746466E7 -1.1130645279307857E8
2018-04-10_04:31:19 -1.8304630154015282E8 -8.099899888770601E7 -1.0868374552884053E8
2018-04-11_13:27:00 -1.8402798161542717E8 -8.15206983020219E7 -1.0604388603416102E8
2018-04-12_22:22:41 -1.8498051297616398E8 -8.202948536483411E7 -1.0338723191745712E8
2018-04-14_07:18:22 -1.8590364109725788E8 -8.252523352533843E7 -1.0071414607283498E8
2018-04-15_16:14:03 -1.8679711450718403E8 -8.300781748976478E7 -9.802499668181878E7
2018-04-17_01:09:43 -1.8766068488192475E8 -8.347711326448573E7 -9.53201572120121E7
2018-04-18_10:05:24 -1.8849410713862827E8 -8.393299819893175E7 -9.260000641879123E7
2018-04-19_19:01:05 -1.8929713953352177E8 -8.437535103075585E7 -8.98649283358846E7
2018-04-21_03:56:46 -1.9006954375821257E8 -8.480405193006383E7 -8.711531227317159E7
2018-04-22_12:52:27 -1.908110850386985E8 -8.521898254506777E7 -8.435155280813563E7
2018-04-23_21:48:07 -1.915215322354868E8 -8.562002604827672E7 -8.157404977578478E7
2018-04-25_06:43:48 -1.9220065794484568E8 -8.60070671832677E7 -7.878320825669314E7
2018-04-26_15:39:29 -1.9284823860119563E8 -8.637999231204203E7 -7.597943856278878E7
2018-04-28_00:35:10 -1.9346405458064568E8 -8.673868946296833E7 -7.316315622065014E7
2018-04-29_09:30:51 -1.9404789030556446E8 -8.708304837926544E7 -7.03347819521969E7
2018-04-30_18:26:31 -1.9459953434987944E8 -8.741296056789078E7 -6.749474165342508E7
2018-05-02_03:22:12 -1.9511877954547966E8 -8.772831934899905E7 -6.464346636973602E7
2018-05-03_12:17:53 -1.956054230891893E8 -8.802901990573822E7 -6.178139226929656E7
2018-05-04_21:13:34 -1.9605926665063694E8 -8.83149593345258E7 -5.890896061319457E7
2018-05-06_06:09:15 -1.9648011648078135E8 -8.858603669570056E7 -5.602661772306198E7
2018-05-07_15:04:55 -1.9686778352121034E8 -8.884215306460294E7 -5.3134814945677266E7
2018-05-09_00:00:36 -1.972220835140978E8 -8.908321158303441E7 -5.023400861496917E7
2018-05-10_08:56:17 -1.975428371129668E8 -8.930911751116227E7 -4.732466001073267E7
2018-05-11_17:51:58 -1.978298699941901E8 -8.951977827986898E7 -4.440723531360536E7
2018-05-13_02:47:39 -1.9808301296873227E8 -8.971510354315914E7 -4.148220556186358E7
2018-05-14_11:43:19 -1.983021020954671E8 -8.989500523164089E7 -3.855004659524874E7
2018-05-15_20:39:00 -1.984869787941034E8 -9.005939760564226E7 -3.5611239005266815E7
2018-05-17_05:34:41 -1.9863748995899796E8 -9.020819730895907E7 -3.2666268077686563E7
2018-05-18_14:30:22 -1.9875348807326394E8 -9.034132342279838E7 -2.9715623732025962E7
2018-05-19_23:26:03 -1.9883483132294086E8 -9.045869751984428E7 -2.6759800458466403E7
2018-05-21_08:21:43 -1.9888138371127802E8 -9.056024371846707E7 -2.3799297250394143E7
2018-05-22_17:17:24 -1.9889301517277014E8 -9.064588873691595E7 -2.0834617534246188E7
2018-05-24_02:13:05 -1.9886960168696487E8 -9.071556194750175E7 -1.7866269095134858E7
2018-05-25_11:08:46 -1.9881102539179167E8 -9.076919543065739E7 -1.4894763999293376E7
2018-05-26_20:04:27 -1.987171746963628E8 -9.080672402885476E7 -1.1920618512957565E7
2018-05-28_05:00:07 -1.9858794439318332E8 -9.082808540034729E7 -8944353.017387498
2018-05-29_13:55:48 -1.984232357696839E8 -9.083322007270108E7 -5966491.920512398
2018-05-30_22:51:29 -1.982229567190798E8 -9.082207149611497E7 -2987563.564901104
2018-06-01_07:47:10 -1.979870218505385E8 -9.079458609652333E7 -8100.132208329716
2018-06-02_16:42:51 -1.9771535259865978E8 -9.075071332848306E7 2971362.456203091
2018-06-04_01:38:31 -1.9740787733225077E8 -9.069040572783826E7 5950284.642185431
2018-06-05_10:34:12 -1.9706453146224922E8 -9.061361896412264E7 8928123.33841978
2018-06-06_19:29:53 -1.9668525754946905E8 -9.052031189284845E7 1.1904332035082417E7
2018-06-08_04:25:34 -1.962700054103109E8 -9.041044660723865E7 1.4878360919787128E7
2018-06-09_13:21:15 -1.9581873222262877E8 -9.028398848986256E7 1.7849656991965182E7
2018-06-10_22:16:55 -1.9533140262990788E8 -9.014090626374215E7 2.0817664185877748E7
2018-06-12_07:12:36 -1.9480798884423602E8 -8.998117204298279E7 2.3781823496604305E7
2018-06-13_16:08:17 -1.9424847074776503E8 -8.980476138282083E7 2.67415731099671E7
2018-06-15_01:03:58 -1.9365283599245545E8 -8.961165332899028E7 2.9696348536536187E7
2018-06-16_09:59:39 -1.930210800979038E8 -8.940183046631889E7 3.2645582749466516E7
2018-06-17_18:55:19 -1.9235320654706034E8 -8.917527896646208E7 3.5588706326356195E7
2018-06-19_03:51:00 -1.9164922687968734E8 -8.893198863470694E7 3.8525147594909266E7
2018-06-20_12:46:41 -1.9090916078337362E8 -8.867195295576087E7 4.145433278263766E7
2018-06-21_21:42:22 -1.9013303618202993E8 -8.839516913848825E7 4.437568617027199E7
2018-06-23_06:38:03 -1.8932088932180306E8 -8.810163815956597E7 4.728863024883479E7
2018-06-24_15:33:43 -1.8847276485418984E8 -8.779136480595812E7 5.01925858809262E7
2018-06-26_00:29:24 -1.87588715916549E8 -8.746435771629703E7 5.308697246505309E7
2018-06-27_09:25:05 -1.8666880420960647E8 -8.71206294209892E7 5.5971208104474545E7
2018-06-28_18:20:46 -1.8571310007224813E8 -8.676019638117413E7 5.88447097789067E7
2018-06-30_03:16:27 -1.8472168255286047E8 -8.638307902622795E7 6.170689352138244E7
2018-07-01_12:12:07 -1.836946394793035E8 -8.598930179060715E7 6.45571745936758E7
2018-07-02_21:07:48 -1.826320675222407E8 -8.557889314800598E7 6.739496767503095E7
2018-07-04_06:03:29 -1.815340722585064E8 -8.515188564536048E7 7.021968704433215E7
2018-07-05_14:59:10 -1.804007682290273E8 -8.47083159345855E7 7.303074677108297E7
2018-07-06_23:54:51 -1.792322789935731E8 -8.424822480291244E7 7.582756090775973E7
2018-07-08_08:50:31 -1.7802873718113068E8 -8.377165720131783E7 7.860954368644619E7
2018-07-09_17:46:12 -1.7679028453648826E8 -8.32786622712854E7 8.137610971730359E7
2018-07-11_02:41:53 -1.7551707196222904E8 -8.276929336954896E7 8.412667419054289E7
2018-07-12_11:37:34 -1.7420925955632666E8 -8.224360809088875E7 8.686065308079927E7
2018-07-13_20:33:15 -1.7286701664511397E8 -8.170166828887789E7 8.957746335405144E7
2018-07-15_05:28:55 -1.7149052181154713E8 -8.114354009453556E7 9.227652317691125E7
2018-07-16_14:24:36 -1.7007996291877073E8 -8.056929393288769E7 9.495725212799445E7
2018-07-17_23:20:17 -1.6863553712877646E8 -7.997900453733663E7 9.761907141163893E7
2018-07-19_08:15:58 -1.6715745091637543E8 -7.937275096193413E7 1.0026140407327895E8
2018-07-20_17:11:39 -1.6564592007824427E8 -7.875061659144855E7 1.0288367521688123E8
2018-07-22_02:07:19 -1.6410116973710364E8 -7.8112689149247E7 1.0548531222409353E8
2018-07-23_11:03:00 -1.6252343434043112E8 -7.745906070274049E7 1.0806574497593665E8
2018-07-24_19:58:41 -1.6091295765700123E8 -7.678982766775168E7 1.1062440607144047E8
2018-07-26_04:54:22 -1.5926999276280108E8 -7.610509080828999E7 1.1316073105679664E8
2018-07-27_13:50:03 -1.575948020273101E8 -7.540495523628382E7 1.156741586466351E8
2018-07-28_22:45:43 -1.5588765709180382E8 -7.468953040780196E7 1.1816413095085678E8
2018-07-30_07:41:24 -1.541488388427461E8 -7.395893011702234E7 1.2063009370151584E8
2018-07-31_16:37:05 -1.523786373797067E8 -7.321327248770401E7 1.2307149648030265E8
2018-08-02_01:32:46 -1.505773519776373E8 -7.245267996208176E7 1.2548779294645403E8
2018-08-03_10:28:27 -1.4874529104354137E8 -7.16772792871895E7 1.2787844106473127E8
2018-08-04_19:24:07 -1.4688277206711012E8 -7.088720149841954E7 1.3024290333369821E8
2018-08-06_04:19:48 -1.4499012156581497E8 -7.008258190052183E7 1.3258064701333658E8
2018-08-07_13:15:29 -1.430676750238184E8 -6.926356004576102E7 1.3489114435263622E8
2018-08-08_22:11:10 -1.4111577682535818E8 -6.843027970951004E7 1.3717387281607762E8
2018-08-10_07:06:51 -1.3913478018207148E8 -6.758288886304405E7 1.3942831530957764E8
2018-08-11_16:02:31 -1.3712504705456975E8 -6.67215396436655E7 1.4165396040532407E8
2018-08-13_00:58:12 -1.3508694806821805E8 -6.584638832213747E7 1.4385030256545413E8
2018-08-14_09:53:53 -1.330208624233688E8 -6.4957595267529264E7 1.460168423641648E8
2018-08-15_18:49:34 -1.3092717779965834E8 -6.405532490930123E7 1.4815308670855114E8
2018-08-17_03:45:15 -1.2880629025407527E8 -6.313974569649843E7 1.502585490582217E8
2018-08-18_12:40:55 -1.2665860411696856E8 -6.22110300558494E7 1.5233274963943887E8
2018-08-19_21:36:36 -1.2448453187520559E8 -6.1269354344103456E7 1.543752156641946E8
