#time X Y Z
2017-06-21_15:29:26 4.060616520001833E7 2.1166727145584732E7 4868252.478973599
2017-06-22_17:35:26 4.073709374770755E7 2.1807584459126722E7 -620101.6803473467
2017-06-23_19:41:26 4.038509580770941E7 2.2189940239476778E7 -6101257.239092098
2017-06-24_21:47:26 3.95626105093244E7 2.231380913051362E7 -1.1511560077698106E7
2017-06-25_23:53:26 3.829013688715963E7 2.2183909384414505E7 -1.679122394667731E7
2017-06-27_01:59:26 3.6594997029175736E7 2.1809167798095208E7 -2.1885892845883112E7
2017-06-28_04:05:26 3.450989035201163E7 2.1202064670554023E7 -2.6747751174733564E7
2017-06-29_06:11:26 3.207138089113599E7 2.0377891794655465E7 -3.1336163123300653E7
2017-06-30_08:17:26 2.9318440145549387E7 1.9353993302273385E7 -3.561787578690199E7
2017-07-01_10:23:26 2.629113609688566E7 1.8149046974343248E7 -3.956685745091737E7
2017-07-02_12:29:26 2.3029523257657614E7 1.678242615329977E7 -4.316386109106114E7
2017-07-03_14:35:26 1.9572756104308244E7 1.5273663912563374E7 -4.6395805168484874E7
2017-07-04_16:41:26 1.5958423296387224E7 1.3642025382783204E7 -4.9255053842716284E7
2017-07-05_18:47:26 1.2222083586511796E7 1.1906183170021655E7 -5.1738662641799584E7
2017-07-06_20:53:26 8396975.316818386 1.0083984886713106E7 -5.3847638073847696E7
2017-07-07_22:59:26 4513867.768261038 8192299.619255404 -5.558624384624001E7
2017-07-09_01:05:26 601022.5619411633 6246929.8636439955 -5.696137345717238E7
2017-07-10_03:11:26 -3315764.226604405 4262575.795552157 -5.798199887770381E7
2017-07-11_05:17:26 -7213064.50662105 2252839.1784793735 -5.865869755801934E7
2017-07-12_07:23:26 -1.1069685249454169E7 230255.12193951057 -5.900325465173365E7
2017-07-13_09:29:26 -1.4866515021390509E7 -1793658.3925386562 -5.9028334072664E7
2017-07-14_11:35:26 -1.8586360373054557E7 -3808340.831511812 -5.87472105114167E7
2017-07-15_13:41:26 -2.2213779357004065E7 -5804124.149106595 -5.817355436469463E7
2017-07-16_15:47:26 -2.5734917734734967E7 -7772165.285701978 -5.7321262044420384E7
2017-07-17_17:53:26 -2.913735232623355E7 -9704377.73592389 -5.620432477072401E7
2017-07-18_19:59:26 -3.2409944867689364E7 -1.1593363675494585E7 -5.483672949803069E7
2017-07-19_22:05:26 -3.554270832112847E7 -1.3432348465324348E7 -5.3232386137617365E7
2017-07-21_00:11:26 -3.852668591551569E7 -1.5215119388465358E7 -5.140507596728321E7
2017-07-22_02:17:26 -4.135384201363339E7 -1.693596995122426E7 -4.936841706064914E7
2017-07-23_04:23:26 -4.401696344836689E7 -1.8589650023547977E7 -4.713584360928356E7
2017-07-24_06:29:26 -4.650957036668494E7 -2.0171321081497103E7 -4.472059681911735E7
2017-07-25_08:35:26 -4.882583637563359E7 -2.167651536626663E7 -4.2135725428353146E7
2017-07-26_10:41:26 -5.096051820303537E7 -2.3101098031210855E7 -3.9394093965994366E7
2017-07-27_12:47:26 -5.290889494810637E7 -2.444123213794121E7 -3.650839682837185E7
2017-07-28_14:53:26 -5.4666716294038884E7 -2.569334706175391E7 -3.3491176516517147E7
2017-07-29_16:59:26 -5.623015837801481E7 -2.6854111063729677E7 -3.0354844962818958E7
2017-07-30_19:05:26 -5.7595785854518905E7 -2.7920408364183333E7 -2.7111707552555703E7
2017-07-31_21:11:26 -5.8760519143756054E7 -2.8889320270366047E7 -2.377398995746955E7
2017-08-01_23:17:26 -5.97216067164292E7 -2.9758109340910155E7 -2.035386784602568E7
2017-08-03_01:23:26 -6.0476602893676706E7 -3.052420552669589E7 -1.6863499157663357E7
2017-08-04_03:29:26 -6.102335170937187E7 -3.1185193782844197E7 -1.3315058177362347E7
2017-08-05_05:35:26 -6.1359976899179906E7 -3.173880345122614E7 -9720770.505137809
2017-08-06_07:41:26 -6.148487744609984E7 -3.218290026182564E7 -6092948.4414071115
2017-08-07_09:47:26 -6.139672787034611E7 -3.251548181160022E7 -2444026.9084368204
2017-08-08_11:53:26 -6.1094482796146944E7 -3.2734676845454734E7 1213399.4452573918
2017-08-09_13:59:26 -6.0577386089692846E7 -3.2838747979421467E7 4866537.314336986
2017-08-10_16:05:26 -5.984498553781668E7 -3.282609712575331E7 8502353.8965501
2017-08-11_18:11:26 -5.8897154219282314E7 -3.269527307059762E7 1.210753471155024E7
2017-08-12_20:17:26 -5.7734119338935696E7 -3.244498134056563E7 1.566844112623559E7
2017-08-13_22:23:26 -5.635649871762017E7 -3.2074097272758085E7 1.9171068474762235E7
2017-08-15_00:29:26 -5.476534485892151E7 -3.15816836363967E7 2.260100512251329E7
2017-08-16_02:35:26 -5.296219681971591E7 -3.0967014007202953E7 2.5943392354211465E7
2017-08-17_04:41:26 -5.094914090271583E7 -3.0229602519301202E7 2.9182884928443436E7
2017-08-18_06:47:26 -4.872888191368664E7 -2.9369240009528533E7 3.2303612867986705E7
2017-08-19_08:53:26 -4.6304826982007734E7 -2.838603638104959E7 3.528914609246894E7
2017-08-20_10:59:26 -4.36811835697307E7 -2.7280469421687372E7 3.812246445386435E7
2017-08-21_13:05:26 -4.0863072590742834E7 -2.605344111228193E7 4.078593623127224E7
2017-08-22_15:11:26 -3.785665713441051E7 -2.470634322338853E7 4.326130813181112E7
2017-08-23_17:17:26 -3.46692873291571E7 -2.3241134215717077E7 4.552970993837426E7
2017-08-24_19:23:26 -3.1309662363420233E7 -2.1660429011640254E7 4.757167752758722E7
2017-08-25_21:29:26 -2.778801095439435E7 -1.996760227993683E7 4.936719940532853E7
2017-08-26_23:35:26 -2.4116290975466963E7 -1.816690492540258E7 5.089579392069792E7
2017-08-28_01:41:26 -2.0308407367598683E7 -1.6263592945724893E7 5.2136626292729564E7
