#time X Y Z
2018-03-23_09:45:15 341258.8699336319 117007.37282579667 91776.04390063985
2018-03-23_11:03:00 342159.8297332701 117734.33706736243 86998.60140760803
2018-03-23_12:20:46 343054.0444630921 118292.4980014403 82203.76720003734
2018-03-23_13:38:31 343863.7040964366 118904.30496487574 77396.51836037768
2018-03-23_14:56:17 344611.0373971601 119505.3484689293 72576.41823294535
2018-03-23_16:14:03 345287.42626049713 120119.56427872207 67744.58035445903
2018-03-23_17:31:48 345904.1055343002 120714.21624508475 62901.27558975753
2018-03-23_18:49:34 346458.47870341555 121296.13051965988 58047.39745459314
2018-03-23_20:07:19 346968.2734254756 121814.49955732083 53183.19263910056
2018-03-23_21:25:05 347449.3410896315 122224.21233135137 48309.18488075118
2018-03-23_22:42:51 347807.63654318854 122791.04973286037 43428.76851455216
2018-03-24_00:00:36 348136.97275804164 123249.05069362248 38540.189920794706
2018-03-24_01:18:22 348436.43811120855 123600.96999757492 33644.57128108342
2018-03-24_02:36:07 348617.61934032536 124095.19952402552 28744.371103936774
2018-03-24_03:53:53 348773.36314180295 124470.34776003081 23838.745336877266
2018-03-24_05:11:39 348885.346177333 124778.01144430932 18929.00040179568
2018-03-24_06:29:24 348919.2390264652 125113.98622826835 14016.35066314421
2018-03-24_07:47:10 348852.26915567403 125541.02977061253 9101.59354731584
2018-03-24_09:04:55 348771.8691189681 125815.71437986188 4185.074110826132
2018-03-24_10:22:41 348616.6255804536 126108.73773384397 -732.0369783678783
2018-03-24_11:40:27 348396.0959413841 126393.34605449652 -5648.9793196029905
2018-03-24_12:58:12 348158.1625406238 126537.72235918099 -10564.704016309643
2018-03-24_14:15:58 347824.62586395966 126757.27434978627 -15478.649222559878
2018-03-24_15:33:43 347404.50084437046 127026.55373702044 -20390.122973525897
2018-03-24_16:51:29 346975.61326678854 127132.81212963516 -25297.554031051903
2018-03-24_18:09:15 346459.72368816903 127290.04953307383 -30200.839144882924
2018-03-24_19:27:00 345856.290600585 127499.1868967649 -35099.3019333291
2018-03-24_20:44:46 345252.04159453965 127525.44367980315 -39990.76705340828
2018-03-24_22:02:31 344540.3406586108 127657.63598959317 -44876.08602469629
2018-03-24_23:20:17 343783.5189784176 127727.46843406309 -49753.38513805765
2018-03-25_00:38:03 342983.1435395961 127731.39289711286 -54621.71931464919
2018-03-25_01:55:48 342106.80343899527 127756.55322322588 -59480.937712555366
2018-03-25_03:13:34 341145.2706607412 127827.354490143 -64330.500637343794
2018-03-25_04:31:19 340172.2815391749 127748.19409011444 -69167.75872554212
2018-03-25_05:49:05 339124.59709718183 127687.64468240105 -73993.41655471665
2018-03-25_07:06:51 337986.8804648461 127686.06683443965 -78807.13087509832
2018-03-25_08:24:36 336819.5698535751 127584.6422117781 -83606.40580323614
2018-03-25_09:42:22 335596.8796306174 127452.00706761016 -88391.10390615225
2018-03-25_11:00:07 334298.75228086277 127340.98031818357 -93161.01180167719
2018-03-25_12:17:53 332960.9433987766 127158.90089943453 -97914.2219556258
2018-03-25_13:35:39 331553.20015292516 126985.05442621124 -102650.84980328503
2018-03-25_14:53:24 330100.2963422932 126755.90905820279 -107369.29425282138
2018-03-25_16:11:10 328558.96035629883 126583.53158062173 -112070.1559474967
2018-03-25_17:28:55 327006.29806527996 126270.51694462217 -116750.0893012426
2018-03-25_18:46:41 325354.9117657673 126041.59637694796 -121411.18777941717
2018-03-25_20:04:27 323685.4665349083 125691.45630304555 -126049.95128800637
2018-03-25_21:22:12 321929.7328667628 125394.63111959696 -130667.88381137632
2018-03-25_22:39:58 320130.87448158144 125042.20991083056 -135262.73365985288
2018-03-25_23:57:43 318235.4684423789 124769.66271293156 -139835.51966166715
2018-03-26_01:15:29 316320.2412645709 124384.56276185438 -144382.86173344342
2018-03-26_02:33:15 314344.18507868605 123991.08486753763 -148905.3650597844
2018-03-26_03:51:00 312323.87975811714 123548.75232110474 -153401.70576029844
2018-03-26_05:08:46 310266.3048628195 123041.44988229912 -157870.89775287424
2018-03-26_06:26:31 308093.6055042962 122662.92696472583 -162314.69453140345
2018-03-26_07:44:17 305938.51248097414 122085.8244260825 -166728.07197119284
2018-03-26_09:02:03 303658.51939668675 121662.62162769615 -171114.78150639407
2018-03-26_10:19:48 301376.0367083253 121093.22467495089 -175470.26118964545
2018-03-26_11:37:34 299043.354876196 120496.20784605487 -179795.26834922028
2018-03-26_12:55:19 296639.64372051746 119923.33654137536 -184089.66516978873
2018-03-26_14:13:05 294162.701628322 119380.60099398355 -188352.7269602627
2018-03-26_15:30:51 291659.5993232776 118755.01140214619 -192582.42842538725
2018-03-26_16:48:36 289089.0897101723 118147.56105946464 -196779.15915015942
2018-03-26_18:06:22 286507.05772651866 117425.0285045078 -200940.82041061757
2018-03-26_19:24:07 283835.37310296885 116776.31146476862 -205068.6058854519
2018-03-26_20:41:53 281126.3597894891 116077.02917443991 -209160.55155848048
2018-03-26_21:59:39 278375.1769170837 115340.21302350833 -213216.10661411486
2018-03-26_23:17:24 275533.96404863254 114680.6866458427 -217235.48283624943
2018-03-27_00:35:10 272709.06680714816 113847.66717191799 -221216.0399263442
2018-03-27_01:52:55 269805.48483404226 113067.57329151107 -225158.82960214184
2018-03-27_03:10:41 266829.78321203863 112325.70175686003 -229062.9458829883
2018-03-27_04:28:27 263818.07241031225 111538.33484082636 -232927.17311919256
