#time X Y Z
2018-07-21_17:34:41 -1.0995151350913785E9 -5.567398525227468E8 4.306575583566847E9
2018-11-19_02:41:53 -1.0484048439507409E9 -5.3618823105895996E8 4.321587319283293E9
2019-03-19_11:49:05 -9.971054865876578E8 -5.1554189766576743E8 4.335910943828314E9
2019-07-17_20:56:17 -9.456275009547641E8 -4.9480503996472335E8 4.349539802535999E9
2019-11-15_06:03:29 -8.939750576877131E8 -4.7397912570217514E8 4.362470978567865E9
2020-03-14_15:10:41 -8.421561903100592E8 -4.530673345359951E8 4.374696669740275E9
2020-07-13_00:17:53 -7.901791269016197E8 -4.3207283593472767E8 4.386210275160015E9
2020-11-10_09:25:05 -7.380532248247575E8 -4.109994075672034E8 4.39700867769719E9
2021-03-10_18:32:17 -6.857849933325311E8 -3.898494305957237E8 4.407082680007481E9
2021-07-09_03:39:29 -6.333877492092803E8 -3.686284211604932E8 4.416427731423488E9
2021-11-06_12:46:41 -5.80870719988163E8 -3.473399322492488E8 4.425038865929729E9
2022-03-06_21:53:53 -5.2824416628795296E8 -3.259881702970989E8 4.432911448695422E9
2022-07-05_07:01:05 -4.755222653299835E8 -3.04578863403899E8 4.440038784938567E9
2022-11-02_16:08:17 -4.227163818895833E8 -2.831167159917811E8 4.446421836334951E9
2023-03-03_01:15:29 -3.6983875939846057E8 -2.6160667881359187E8 4.452054618812975E9
2023-07-01_10:22:41 -3.16903373910844E8 -2.4005461205148268E8 4.456937078049497E9
2023-10-29_19:29:53 -2.6392424382948714E8 -2.184663338366771E8 4.461070191798237E9
2024-02-27_04:37:05 -2.1091051478364924E8 -1.968456191258439E8 4.464454531593087E9
2024-06-26_13:44:17 -1.5787825068003017E8 -1.7519926764090174E8 4.467090768341328E9
2024-10-24_22:51:29 -1.048367632907504E8 -1.5353112262943733E8 4.468983912388633E9
2025-02-22_07:58:41 -5.179701549551918E7 -1.3184585058882914E8 4.470136358925476E9
2025-06-22_17:05:53 1230624.3482927072 -1.1014775420804504E8 4.470550201759864E9
2025-10-21_02:13:05 5.423562284717937E7 -8.844136955468754E7 4.470232976912219E9
2026-02-18_11:20:17 1.0721248197361122E8 -6.672887911045966E7 4.469186019670691E9
2026-06-18_20:27:29 1.6015074888047042E8 -4.501480681645887E7 4.4674139345671425E9
2026-10-17_05:34:41 2.130435234090374E8 -2.3301930298092738E7 4.464920537965334E9
2027-02-14_14:41:53 2.6588588854637173E8 -1592361.6439601742 4.461710260987064E9
2027-06-14_23:49:05 3.186689951555827E8 2.0110268782486655E7 4.457782889260076E9
2027-10-13_08:56:17 3.713875772742452E8 4.1803738791815355E7 4.453145281512135E9
2028-02-10_18:03:29 4.2403647568068296E8 6.3486001158200555E7 4.447797275394446E9
2028-06-10_03:10:41 4.7660970862545997E8 8.515457979725035E7 4.441740624187484E9
2028-10-08_12:17:53 5.290994570516721E8 1.0680625427140768E8 4.434978101254539E9
2029-02-05_21:25:05 5.815039509532541E8 1.2844042750570445E8 4.42751074688954E9
2029-06-06_06:32:17 6.33813824766809E8 1.5005317311321595E8 4.419337901019153E9
2029-10-04_15:39:29 6.860247799308281E8 1.71642856689615E8 4.410461925998808E9
2030-02-02_00:46:41 7.381313807944885E8 1.9320723154974753E8 4.400883366190063E9
2030-06-02_09:53:53 7.901275797383301E8 2.1474395276369312E8 4.3905992275520315E9
2030-09-30_19:01:05 8.420053257535026E8 2.362496405762934E8 4.379612800964748E9
2031-01-29_04:08:17 8.937609192389371E8 2.577229983232955E8 4.367921200174655E9
2031-05-29_13:15:29 9.45385837133883E8 2.791604436461689E8 4.3555239268817425E9
2031-09-26_22:22:41 9.968722051239219E8 3.0055888018584985E8 4.342419896048246E9
2032-01-25_07:29:53 1.0482151319717755E9 3.2191632998878706E8 4.328609498447929E9
