#time X Y Z
2018-09-20_11:20:17 -4.3418757387828665E9 -1.8499397234263978E9 1.6658707532413757E9
2019-03-20_14:13:05 -4.3216346111762495E9 -1.8682194553677812E9 1.7482310455157623E9
2019-09-17_17:05:53 -4.300290003134821E9 -1.8860211744838462E9 1.8301561547794986E9
2020-03-16_19:58:41 -4.277858078544333E9 -1.9033453674279637E9 1.911630137766935E9
2020-09-13_22:51:29 -4.254355074394925E9 -1.920192690737752E9 1.992637444429732E9
2021-03-14_01:44:17 -4.2297972927438374E9 -1.9365639649170105E9 2.0731629165770094E9
2021-09-11_04:37:05 -4.2042010925352473E9 -1.9524601684038584E9 2.1531917872018304E9
2022-03-11_07:29:53 -4.1775828812051764E9 -1.9678824314277835E9 2.232709680402804E9
2022-09-08_10:22:41 -4.1499591060110946E9 -1.9828320297630954E9 2.3117026118069534E9
2023-03-08_13:15:29 -4.1213462450429783E9 -1.9973103783883238E9 2.3901569893844976E9
2023-09-05_16:08:17 -4.091760797885563E9 -2.0113190250655062E9 2.4680596145464735E9
2024-03-04_19:01:05 -4.0612192759189696E9 -2.0248596438555481E9 2.5453976834058366E9
2024-09-01_21:53:53 -4.029738192256629E9 -2.0379340285900683E9 2.6221587880896153E9
2025-03-02_00:46:41 -3.9973340513373427E9 -2.0505440863216357E9 2.698330917981312E9
2025-08-30_03:39:29 -3.96402333819965E9 -2.0626918307777503E9 2.773902460781807E9
2026-02-27_06:32:17 -3.9298225074824038E9 -2.0743793758449857E9 2.848862203275048E9
2026-08-27_09:25:05 -3.894747972204619E9 -2.0856089291127398E9 2.9231993316980677E9
2027-02-24_12:17:53 -3.858816092391642E9 -2.0963827855059693E9 2.99690343161525E9
2027-08-24_15:10:41 -3.822043163621881E9 -2.106703321038006E9 3.0699644872114778E9
2028-02-21_18:03:29 -3.784445405579456E9 -2.1165729867142951E9 3.142372879923238E9
2028-08-20_20:56:17 -3.7460389507011156E9 -2.1259943026184425E9 3.2141193863454185E9
2029-02-17_23:49:05 -3.706839833014196E9 -2.1349698522106535E9 3.2851951753571057E9
2029-08-18_02:41:53 -3.6668639772639074E9 -2.1435022768679392E9 3.3555918044261427E9
2030-02-15_05:34:41 -3.6261271884297314E9 -2.1515942706940145E9 3.4253012150660014E9
2030-08-15_08:27:29 -3.584645141732687E9 -2.15924857562431E9 3.4943157274281774E9
2031-02-12_11:20:17 -3.542433373229637E9 -2.166467976849897E9 3.562628034033869E9
2031-08-12_14:13:05 -3.499507271091124E9 -2.173255298580572E9 3.630231192655347E9
2032-02-09_17:05:53 -3.455882067650987E9 -2.1796134001648455E9 3.6971186183761067E9
2032-08-08_19:58:41 -3.4115728323125334E9 -2.185545172580516E9 3.763284074866308E9
2033-02-05_22:51:29 -3.3665944653837113E9 -2.1910535353066654E9 3.8287216649287696E9
2033-08-06_01:44:17 -3.320961692908715E9 -2.196141433583231E9 3.893425820374978E9
2034-02-03_04:37:05 -3.2746890625492244E9 -2.2008118360609016E9 3.9573912913064013E9
2034-08-03_07:29:53 -3.227790940560813E9 -2.205067732839519E9 4.0206131348797135E9
2035-01-31_10:22:41 -3.1802815098927927E9 -2.208912133889557E9 4.083086703649123E9
2035-07-31_13:15:29 -3.1321747694317455E9 -2.212348067846719E9 4.1448076335784903E9
2036-01-28_16:08:17 -3.083484534391436E9 -2.21537858116594E9 4.2057718318263164E9
2036-07-27_19:01:05 -3.0342244378420677E9 -2.218006737617062E9 4.2659754644049983E9
2037-01-24_21:53:53 -2.984407933353343E9 -2.220235618101053E9 4.32541494382364E9
2037-07-25_00:46:41 -2.934048298716494E9 -2.222068320761883E9 4.38408691681856E9
2038-01-22_03:39:29 -2.883158640693784E9 -2.2235079613663826E9 4.441988252278657E9
2038-07-22_06:32:17 -2.8317519007343197E9 -2.224557673921285E9 4.499116029466327E9
2039-01-19_09:25:05 -2.779840861578477E9 -2.2252206114946756E9 4.555467526635777E9
2039-07-19_12:17:53 -2.727438154666123E9 -2.225499947206552E9 4.611040210140069E9
2040-01-16_15:10:41 -2.6745562682500415E9 -2.2253988753521633E9 4.665831724115617E9
2040-07-15_18:03:29 -2.621207556110152E9 -2.224920612620265E9 4.719839880821181E9
2041-01-12_20:56:17 -2.567404246751174E9 -2.224068399368014E9 4.773062651704785E9
2041-07-12_23:49:05 -2.513158452964617E9 -2.2228455009139833E9 4.825498159256964E9
2042-01-10_02:41:53 -2.4584821816277213E9 -2.2212552088111763E9 4.877144669701425E9
2042-07-10_05:34:41 -2.4033873436083894E9 -2.2193008420625887E9 4.928000586562748E9
2043-01-07_08:27:29 -2.3478857636456137E9 -2.2169857482432814E9 4.978064445136502E9
2043-07-07_11:20:17 -2.291989190069611E9 -2.2143133044945307E9 5.027334907879855E9
2044-01-04_14:13:05 -2.235709304231929E9 -2.211286918357931E9 5.075810760723618E9
2044-07-03_17:05:53 -2.1790577295142198E9 -2.2079100284195967E9 5.123490910298596E9
2044-12-31_19:58:41 -2.122046039793372E9 -2.2041861047380276E9 5.170374382052977E9
2045-06-30_22:51:29 -2.0646857672404282E9 -2.2001186490318494E9 5.216460319230817E9
2045-12-29_01:44:17 -2.0069884093440905E9 -2.1957111946078105E9 5.261747982665655E9
2046-06-28_04:37:05 -1.9489654350535805E9 -2.1909673060127063E9 5.306236751336272E9
2046-12-26_07:29:53 -1.8906282899502773E9 -2.185890578397434E9 5.349926123618436E9
2047-06-25_10:22:41 -1.8319884003631752E9 -2.180484636584959E9 5.392815719161596E9
2047-12-23_13:15:29 -1.7730571763609262E9 -2.1747531338388033E9 5.434905281307572E9
2048-06-21_16:08:17 -1.7138460135621624E9 -2.168699750332427E9 5.47619467996449E9
2048-12-19_19:01:05 -1.654366293724256E9 -2.1623281913248034E9 5.516683914840416E9
2049-06-18_21:53:53 -1.5946293840793695E9 -2.155642185050936E9 5.556373118940945E9
2049-12-17_00:46:41 -1.534646635407543E9 -2.148645480340847E9 5.595262562227687E9
2050-06-16_03:39:29 -1.4744293788471344E9 -2.1413418439839969E9 5.633352655336237E9
2050-12-14_06:32:17 -1.4139889214630978E9 -2.1337350578603406E9 5.670643953248655E9
2051-06-13_09:25:05 -1.3533365406023343E9 -2.1258289158617928E9 5.707137158820656E9
2051-12-11_12:17:53 -1.2924834770870447E9 -2.117627220631966E9 5.742833126061965E9
2052-06-09_15:10:41 -1.2314409273059988E9 -2.109133780153982E9 5.777732863075319E9
2052-12-07_18:03:29 -1.170220034282404E9 -2.100352404219121E9 5.81183753456175E9
2053-06-06_20:56:17 -1.1088318778043044E9 -2.0912869008103914E9 5.845148463809389E9
2053-12-04_23:49:05 -1.0472874637209246E9 -2.081941072437078E9 5.877667134087189E9
2054-06-04_02:41:53 -9.855977125160553E8 -2.0723187124570997E9 5.909395189375387E9
2054-12-02_05:34:41 -9.237734472794986E8 -2.0624236014243014E9 5.9403344343734E9
2055-06-01_08:27:29 -8.618253812089808E8 -2.052259503498581E9 5.970486833734738E9
2055-11-29_11:20:17 -7.997641047759342E8 -2.041830162954913E9 5.99985451049185E9
2056-05-28_14:13:05 -7.376000727004607E8 -2.031139300827923E9 6.0284397436422E9
2056-11-25_17:05:53 -6.753435908790438E8 -2.0201906117258055E9 6.05624496488077E9
2057-05-25_19:58:41 -6.130048034159635E8 -2.0089877608466947E9 6.083272754473787E9
2057-11-22_22:51:29 -5.505936799037101E8 -1.9975343812270398E9 6.10952583628306E9
2058-05-23_01:44:17 -4.8812000310213244E8 -1.9858340712497814E9 6.135007071959376E9
2058-11-20_04:37:05 -4.2559335715887445E8 -1.9738903924361877E9 6.159719454336876E9
2059-05-20_07:29:53 -3.630231165137446E8 -1.9617068675427897E9 6.183666100069549E9
2059-11-17_10:22:41 -3.004184356171591E8 -1.9492869789795282E9 6.206850241563869E9
2060-05-16_13:15:29 -2.3778823959178996E8 -1.9366341675629058E9 6.229275218269071E9
2060-11-13_16:08:17 -1.7514121595237917E8 -1.9237518316124454E9 6.250944467397314E9
2061-05-13_19:01:05 -1.1248580749336769E8 -1.9106433263956816E9 6.271861514152521E9
2061-11-10_21:53:53 -4.983020643581812E7 -1.8973119639209569E9 6.292029961555762E9
2062-05-11_00:46:41 1.2817650080332667E7 -1.883761013074718E9 6.31145347995896E9
2062-11-08_03:39:29 7.545008309250657E7 -1.86999370009387E9 6.330135796345081E9
2063-05-08_06:32:17 1.3805967344210875E8 -1.8560132093613055E9 6.348080683515044E9
2063-11-05_09:25:05 2.0063926189546672E8 -1.841822684506748E9 6.365291949265709E9
2064-05-04_12:17:53 2.63181947731974E8 -1.8274252297927132E9 6.381773425662446E9
2064-11-01_15:10:41 3.256810857927737E8 -1.8128239117606916E9 6.397528958510896E9
2065-05-01_18:03:29 3.881302819946005E8 -1.7980217611103086E9 6.412562397129593E9
2065-10-29_20:56:17 4.5052338733492124E8 -1.7830217747800155E9 6.426877584523825E9
2066-04-28_23:49:05 5.128544904246697E8 -1.7678269181963694E9 6.440478348055553E9
2066-10-27_02:41:53 5.751179086027985E8 -1.7524401276563923E9 6.453368490699729E9
2067-04-26_05:34:41 6.373081777023212E8 -1.736864312805278E9 6.4655517829708395E9
2067-10-24_08:27:29 6.99420040547153E8 -1.7211023591718862E9 6.477031955595675E9
2068-04-22_11:20:17 7.614484342788886E8 -1.7051571307217867E9 6.487812693000832E9
2068-10-20_14:13:05 8.233884766182919E8 -1.689031472389133E9 6.497897627673322E9
2069-04-19_17:05:53 8.852354511819006E8 -1.672728212547818E9 6.507290335443566E9
2069-10-17_19:58:41 9.469847919798332E8 -1.6562501653840888E9 6.515994331728752E9
2070-04-16_22:51:29 1.00863206723462E9 -1.6396001331328716E9 6.524013068764547E9
2070-10-15_01:44:17 1.0701729626627123E9 -1.6227809081431935E9 6.531349933840928E9
2071-04-14_04:37:05 1.1316032643698907E9 -1.6057952747393012E9 6.538008248546927E9
2071-10-12_07:29:53 1.1929188415120008E9 -1.5886460108478923E9 6.543991269017061E9
2072-04-10_10:22:41 1.2541156288801754E9 -1.57133588936359E9 6.549302187161209E9
2072-10-08_13:15:29 1.3151896095652516E9 -1.5538676792297778E9 6.553944132847697E9
2073-04-07_16:08:17 1.3761367978597326E9 -1.5362441462146604E9 6.557920176998835E9
2073-10-05_19:01:05 1.4369532225486324E9 -1.518468053367865E9 6.561233335547068E9
2074-04-04_21:53:53 1.4976349107432408E9 -1.5005421611455028E9 6.563886574190409E9
