#time X Y Z
2018-04-13_20:53:24 -1.3887746568749638E9 -5.767684419387742E8 7.779082657615739E7
2018-05-05_09:19:19 -1.3876218571122372E9 -5.770214133380942E8 9.477534276910599E7
2018-05-26_21:45:15 -1.3862814548765872E9 -5.771963691633078E8 1.1174740097540265E8
2018-06-17_10:11:10 -1.3847535963811026E9 -5.772932736538436E8 1.287047152796664E8
2018-07-08_22:37:05 -1.3830384621265962E9 -5.773121037158583E8 1.4564500116895157E8
2018-07-30_11:03:00 -1.3811361988711853E9 -5.772528202007369E8 1.625659630609864E8
2018-08-20_23:28:55 -1.3790469442264402E9 -5.771153784751643E8 1.794652533268085E8
2018-09-11_11:54:51 -1.3767709251795192E9 -5.768997705522017E8 1.9634048766888598E8
2018-10-03_00:20:46 -1.3743084643920665E9 -5.766060289963449E8 2.131892998786437E8
2018-10-24_12:46:41 -1.371659900948155E9 -5.76234194781972E8 2.3000935236402422E8
2018-11-15_01:12:36 -1.3688255729931276E9 -5.757843104826831E8 2.4679831917735425E8
2018-12-06_13:38:31 -1.3658058748931682E9 -5.752564440682241E8 2.6355390883306485E8
2018-12-28_02:04:27 -1.3626012474071715E9 -5.746506839929384E8 2.802738915264503E8
2019-01-18_14:30:22 -1.3592120929139812E9 -5.739671023506219E8 2.969560667699513E8
2019-02-09_02:56:17 -1.3556387513905792E9 -5.732057435498766E8 3.1359821246966594E8
2019-03-02_15:22:12 -1.3518815738255644E9 -5.723666545384456E8 3.301980817645366E8
2019-03-24_03:48:07 -1.347940964797463E9 -5.714499028137386E8 3.467534159847199E8
2019-04-14_16:14:03 -1.3438173436841633E9 -5.704555607165159E8 3.632619270365895E8
2019-05-06_04:39:58 -1.339511126135823E9 -5.69383698641711E8 3.79721284322551E8
2019-05-27_17:05:53 -1.335022785694712E9 -5.682344123225516E8 3.9612914760345113E8
2019-06-18_05:31:48 -1.3303528933779674E9 -5.670078405959136E8 4.1248320873096275E8
2019-07-09_17:57:43 -1.3255020583176644E9 -5.657041405051186E8 4.287811955837511E8
2019-07-31_06:23:39 -1.3204708600049562E9 -5.643234579714124E8 4.4502085440266186E8
2019-08-21_18:49:34 -1.315259875037417E9 -5.628659381751868E8 4.6119994708892494E8
2019-09-12_07:15:29 -1.3098697280756905E9 -5.613317462101032E8 4.7731625757859063E8
2019-10-03_19:41:24 -1.304301057881352E9 -5.597210516574489E8 4.933675771827599E8
2019-10-25_08:07:19 -1.2985544639897892E9 -5.5803400523909E8 5.093516711172216E8
2019-11-15_20:33:15 -1.2926305537549214E9 -5.562707591246996E8 5.25266267884837E8
