#time X Y Z
2018-07-10_13:05:26 1.1763908213863297E9 4.7705014965263814E8 2.6966112451910224E9
2019-07-30_12:47:26 1.3508502875980222E9 5.549432254196469E8 2.5910615343330145E9
2020-08-18_12:29:26 1.5178857718247738E9 6.297859376297116E8 2.4710757351205935E9
2021-09-07_12:11:26 1.676541387580096E9 7.011537832515658E8 2.3371296155607166E9
2022-09-27_11:53:26 1.825836963928637E9 7.686115306453524E8 2.189756923440418E9
2023-10-17_11:35:26 1.964757839687231E9 8.317078487130144E8 2.0295907201624222E9
2024-11-05_10:17:26 2.0922753862861679E9 8.89983021874915E8 1.8574093752562413E9
2025-11-25_09:59:26 2.2073992201972427E9 9.429904394606386E8 1.6741822689088595E9
2026-12-15_09:41:26 2.309289574829722E9 9.903469710705826E8 1.4809643673963823E9
2028-01-04_09:23:26 2.3972035217582283E9 1.0317089356512537E9 1.2789592627374153E9
2029-01-23_09:05:26 2.470527748568418E9 1.0667889707674761E9 1.069389985057864E9
2030-02-12_08:47:26 2.5287473278161297E9 1.0953427576529095E9 8.534969848375112E8
2031-03-04_08:29:26 2.5714276607205243E9 1.1171613382489116E9 6.325373325554174E8
2032-03-23_08:11:26 2.5982054513514524E9 1.1320673317630837E9 4.07780109800724E8
2033-04-12_08:53:26 2.608780927528883E9 1.1399116906178274E9 1.805074426220605E8
2034-05-02_08:35:26 2.602905198057554E9 1.1405684587438152E9 -4.8003030798902355E7
2035-05-22_08:17:26 2.5803727789842415E9 1.133929579494787E9 -2.7635187731150836E8
2036-06-10_07:59:26 2.541029743591536E9 1.1199094040015812E9 -5.031289348953607E8
2037-06-30_07:41:26 2.4848277107588105E9 1.098465700978455E9 -7.267859484463471E8
2038-07-20_07:23:26 2.4118825617498894E9 1.0696255941244366E9 -9.456852872601911E8
2039-08-09_07:05:26 2.3225071850733256E9 1.0335012406059606E9 -1.158171150219741E9
2040-08-28_06:47:26 2.2172048056916604E9 9.902885504790837E8 -1.3626342120820186E9
2041-09-17_06:29:26 2.0966431140202916E9 9.402567799006685E8 -1.5575454295079477E9
2042-10-07_06:11:26 1.9616232172935138E9 8.837353145793841E8 -1.7414673612826116E9
2043-10-27_04:53:26 1.8130563638581185E9 8.211038880434254E8 -1.9130706186896713E9
2044-11-15_04:35:26 1.6519658973304176E9 7.527934960651412E8 -2.0711255682909112E9
2045-12-05_04:17:26 1.4793895772955267E9 6.79244589544215E8 -2.214571782079244E9
2046-12-25_03:59:26 1.2964593867521675E9 6.009403321698844E8 -2.3424045471800556E9
2048-01-14_03:41:26 1.1043241723083866E9 5.1837282043527526E8 -2.4537126214270988E9
2049-02-02_03:23:26 9.041942035866542E8 4.320610267901737E8 -2.5476262919519176E9
2050-02-22_03:05:26 6.973866322673283E8 3.4257020644155496E8 -2.623324370264109E9
2051-03-14_02:47:26 4.853522341331051E8 2.505246145054171E8 -2.6800936206906357E9
2052-04-02_03:29:26 2.696586405197628E8 1.5660157056530228E8 -2.71738744594652E9
2053-04-22_03:11:26 5.191934227620646E7 6.1501393691347495E7 -2.734862190517994E9
2054-05-12_02:53:26 -1.66155424057273E8 -3.40298244960747E7 -2.7323864343901963E9
2055-06-01_02:35:26 -3.829330860060229E8 -1.292762712405893E8 -2.710052735454497E9
2056-06-20_02:17:26 -5.967920176015632E8 -2.2352351415276426E8 -2.668155909001636E9
2057-07-10_01:59:26 -8.061832241440041E8 -3.160855982896462E8 -2.607177673296651E9
2058-07-30_01:41:26 -1.0096647099618965E9 -4.063203558998603E8 -2.527763240292359E9
2059-08-19_01:23:26 -1.2059211296350923E9 -4.936391686406396E8 -2.4306694962423177E9
2060-09-07_01:05:26 -1.3937518193579319E9 -5.775033700185258E8 -2.3167075060203724E9
2061-09-27_00:47:26 -1.5720229584150536E9 -6.57404304720421E8 -2.1867181027054324E9
2062-10-17_00:29:26 -1.7396267287725177E9 -7.328451007870542E8 -2.041600748317196E9
2063-11-05_23:11:26 -1.8954793274896555E9 -8.03338728283291E8 -1.88235677684306E9
2064-11-24_22:53:26 -2.038540513556153E9 -8.684152680937046E8 -1.7101312396587229E9
2065-12-14_22:35:26 -2.167905227996892E9 -9.276626801032993E8 -1.526138353227474E9
2067-01-03_22:17:26 -2.282733821310872E9 -9.806947638214082E8 -1.3317534996922858E9
2068-01-23_21:59:26 -2.3823375085042706E9 -1.0271897784388753E9 -1.1284229743857014E9
2069-02-11_21:41:26 -2.466182810106698E9 -1.0668922232743847E9 -9.176651823140445E8
2070-03-03_21:23:26 -2.533908266740664E9 -1.099620499267315E9 -7.010454224597863E8
2071-03-23_21:05:26 -2.5853296047198763E9 -1.125270205362112E9 -4.8012159840814376E8
2072-04-11_21:47:26 -2.620424553899832E9 -1.1438090136687117E9 -2.563809273995925E8
2073-05-01_21:29:26 -2.6392756835219088E9 -1.1552532186252108E9 -3.118072209879362E7
2074-05-21_21:11:26 -2.6420037717384944E9 -1.15963724910601E9 1.9413774539238375E8
2075-06-10_20:53:26 -2.628759028478045E9 -1.1570108606184168E9 4.183454232583295E8
2076-06-29_20:35:26 -2.5997279769248996E9 -1.1474395231192174E9 6.401909015782897E8
2077-07-19_20:17:26 -2.5551584298914423E9 -1.131015061659661E9 8.584107119542866E8
2078-08-08_19:59:26 -2.4953744931162186E9 -1.107862199969407E9 1.0717403992911983E9
2079-08-28_19:41:26 -2.4207912046530166E9 -1.0781450696957586E9 1.2789214872391057E9
2080-09-16_19:23:26 -2.331922423554688E9 -1.0420706484348824E9 1.478710830585695E9
2081-10-06_19:05:26 -2.2293966251306443E9 -9.998958568214567E8 1.669901046789828E9
2082-10-26_17:47:26 -2.1139710003290322E9 -9.519344081404927E8 1.851357051611735E9
2083-11-15_17:29:26 -1.9865371455558684E9 -8.985602980488217E8 2.0220474574582906E9
2084-12-04_17:11:26 -1.8480067808145828E9 -8.401600453172089E8 2.181151067437014E9
2085-12-24_16:53:26 -1.6993277496254687E9 -7.771384943967185E8 2.327939146442684E9
2087-01-13_16:35:26 -1.541400022935167E9 -7.098821150397727E8 2.4617968320912905E9
2088-02-02_16:17:26 -1.3750962669827142E9 -6.387663674970211E8 2.5821547802764635E9
2089-02-21_15:59:26 -1.2012873117664795E9 -5.641661433232511E8 2.6884677497340508E9
2090-03-13_15:41:26 -1.0208630775690461E9 -4.8646473714308953E8 2.780215228600663E9
2091-04-02_16:23:26 -8.347492694194252E8 -4.060609311058037E8 2.8569035729426355E9
2092-04-21_16:05:26 -6.438951708209181E8 -3.233636190764239E8 2.918074969672123E9
2093-05-11_15:47:26 -4.4937241496554196E8 -2.3883498456838053E8 2.9632968192663865E9
2094-05-31_15:29:26 -2.5226699948031121E8 -1.529442530466404E8 2.992226089319785E9
2095-06-20_15:11:26 -5.375700486157281E7 -6.6202335435382105E7 3.0046296000576215E9
