#time X Y Z
2017-06-23_08:35:26 -5.670483934357374E7 -3.1051624422916204E7 8.766594124924979E7
2017-06-26_03:47:26 -5.02287272613657E7 -2.8436560715269607E7 9.235957373958676E7
2017-06-28_22:59:26 -4.345076855531098E7 -2.5650611094592758E7 9.649817376224573E7
2017-07-01_18:11:26 -3.64115628056436E7 -2.2710439438940916E7 1.0005657480704251E8
2017-07-04_13:23:26 -2.9153297663023412E7 -1.9633638774978653E7 1.0301300636193492E8
2017-07-07_08:35:26 -2.1719512935545847E7 -1.6438633571707938E7 1.0534922630569313E8
2017-07-10_03:47:26 -1.4154856201140633E7 -1.3144577097748905E7 1.0705063547066392E8
2017-07-12_22:59:26 -6504830.907768749 -9771244.227116216 1.0810637362128325E8
2017-07-15_18:11:26 1184461.970550135 -6338920.12680269 1.0850939611386487E8
2017-07-18_13:23:26 8866587.658239886 -2868285.260494906 1.0825653055635008E8
2017-07-21_08:35:26 1.649504548287251E7 619702.79413927 1.0734851281694989E8
2017-07-24_03:47:26 2.402353973300576E7 4103930.201158159 1.0579000179549107E8
2017-07-26_22:59:26 3.1406252169704583E7 7563249.84549713 1.0358957242736918E8
2017-07-29_18:11:26 3.859811477605728E7 1.0976605828106169E7 1.0075968647601394E8
2017-08-01_13:23:26 4.555508132556017E7 1.4323158862999447E7 9.731664074510545E7
2017-08-04_08:35:26 5.22343962129752E7 1.7582411892591245E7 9.328049245870914E7
2017-08-07_03:47:26 5.8594858970373556E7 2.0734335221045118E7 8.867496166513327E7
2017-08-09_22:59:26 6.459708282916974E7 2.375949042937082E7 8.352731064285363E7
2017-08-12_18:11:26 7.020374560248646E7 2.6639152285839293E7 7.786820045929512E7
2017-08-15_13:23:26 7.53798311811256E7 2.9355427866158944E7 7.173152495160306E7
2017-08-18_08:35:26 8.009285985411355E7 3.1891372047135066E7 6.515422261334283E7
2017-08-21_03:47:26 8.431310569245131E7 3.4231098540092826E7 5.8176067029919356E7
2017-08-23_22:59:26 8.801379923889355E7 3.63598856205334E7 5.083943669282573E7
2017-08-26_18:11:26 9.117131375149852E7 3.826427569763454E7 4.318906526648549E7
2017-08-29_13:23:26 9.376533333972542E7 3.993216789945256E7 3.527177352464395E7
2017-09-01_08:35:26 9.577900136960264E7 4.135290284978387E7 2.713618444420658E7
2017-09-04_03:47:26 9.719904763919117E7 4.251733885861196E7 1.8832423109106652E7
2017-09-06_22:59:26 9.80158929423851E7 4.341791878841271E7 1.0411803271612544E7
2017-09-09_18:11:26 9.8223729780003E7 4.4048726907005206E7 1926502.6547004725
2017-09-12_13:23:26 9.78205781624708E7 4.440553511469683E7 -6570770.822313348
2017-09-15_08:35:26 9.680831563007662E7 4.448583800034564E7 -1.5027119481817292E7
2017-09-18_03:47:26 9.519268083948697E7 4.428887627549145E7 -2.338980049190383E7
2017-09-20_22:59:26 9.298325028819503E7 4.381564822890864E7 -3.1606572031080667E7
2017-09-23_18:11:26 9.019338800418645E7 4.306890895052003E7 -3.962603828040134E7
2017-09-26_13:23:26 8.684016827023935E7 4.2053157184137404E7 -4.739799053881655E7
2017-09-29_08:35:26 8.294427173083314E7 4.0774609787956834E7 -5.487374166689476E7
2017-10-02_03:47:26 7.852985548596561E7 3.924116390145237E7 -6.2006451134880416E7
2017-10-04_22:59:26 7.362439803222187E7 3.746234703594673E7 -6.875143800356622E7
2017-10-07_18:11:26 6.825852019399312E7 3.544925543660699E7 -7.506647921798132E7
